3402171
/m/099nkk
/m/099nkk
Georgette Heyer
1950
{"/m/01qxvh": "Romance novel"}
5 1
a 5
accepting 1
after 1
again 1
all 2
along 1
america 1
an 1
and 15
anyone 1
around 1
arranging 1
arrival 1
as 1
asks 1
at 1
audacious 1
autocratic 1
away 1
battle 2
become 1
been 1
begin 1
both 1
brother 1
but 1
by 5
cecilia 3
charlbury 2
charles 4
chic 1
conclusion 1
confident 1
consternation 1
cousin 4
cousins 1
daughter 1
debt 1
devilry 1
dictatorial 1
diplomat 1
discovers 1
disruption 1
domestic 1
eligible 1
encouraged 1
end 1
engagement 1
england 1
eugenia 1
europe 1
everyone 1
exiled 1
expected 1
extraction 1
falling 1
family 2
father 3
favored 1
fiancee 2
finances 1
find 2
flair 1
following 1
for 1
forced 1
free 1
from 4
has 3
he 1
help 1
her 15
hilarious 1
his 10
horace 1
household 2
however 1
hubert 1
husband 1
in 7
incredibly 1
independent 1
infatuation 1
instead 1
involved 1
is 4
known 1
lady 1
later 1
lightening 1
like 1
little 2
lived 1
lively 1
lord 1
love 1
loves 1
man 2
manner 1
marriage 1
miss 1
moneylender 1
most 1
much 1
name 1
napoleon 1
napoleonic 1
not 1
nothing 1
now 1
obligations 1
of 8
ombersley 1
on 2
once 1
outgoing 1
over 2
parents 1
past 1
poet 1
post 1
problems 1
proceeds 1
proposes 1
quite 1
raged 1
realizes 1
receives 1
resents 1
rivenhall 4
saving 1
scheme 2
several 1
she 3
shoulder 1
sight 1
sir 1
sister 1
slowly 1
solve 1
soon 1
sophia 1
sophy 8
south 1
spiteful 1
stantonlacy 1
stockings 1
storm 1
successful 1
take 1
taking 2
temporary 1
tendencies 1
that 3
the 15
them 1
themselves 1
though 1
through 1
to 10
town 1
trademark 1
tyranny 1
ultimately 1
unconventional 1
unite 1
various 1
wars 1
watch 1
waterloo 1
well 1
what 1
while 1
wills 1
with 6
wraxton 1
years 1
