14932116
/m/03h238l
/m/03h238l
Jo Walton
2007-10-02
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
14 1
141 1
2006 1
2008 1
a 9
abandoned 1
ability 1
actress 1
adolf 2
affect 1
also 2
alternate 1
an 2
and 6
aristocratic 1
as 1
assigned 1
at 1
august 1
became 1
become 1
becomes 1
bomb 1
book 1
books 1
both 1
britain 2
by 2
came 1
carmichael 2
case 3
caught 1
change 1
chose 1
class 1
complicated 1
compromised 1
conspiracy 1
crown 1
decisions 1
dictatorship 1
different 1
during 2
environment 1
establishment 1
ethics 1
explodes 1
family 2
farthing 1
fascist 1
finds 1
first 1
five 1
for 1
friendship 1
from 1
given 1
half 1
hand 1
handle 1
hard 1
has 1
he 1
her 2
his 1
history 1
hitler 2
in 7
inside 1
inspector 1
inspired 1
into 1
involving 1
is 4
it 1
kingdom 1
lark 1
latter 1
life 1
lifetime 1
london 2
lost 1
made 1
make 1
may 1
minister 1
mitford 1
murder 1
mystery 1
new 1
novel 2
of 3
out 1
peace 1
peter 1
plot 1
political 1
politics 1
previous 1
prime 1
professional 1
reallife 1
released 1
role 1
scotland 1
september 1
series 1
set 1
she 2
sisters 2
slid 1
small 1
suburb 1
the 11
third 1
thriller 1
to 6
tor 2
touch 1
united 1
up 1
upper 1
very 1
viola 2
visit 1
was 1
web 1
when 2
which 2
who 1
with 2
yard 1
