78016
/m/0kdr6
/m/0kdr6
Ian Fleming
1957-04-08
{"/m/06wkf": "Spy fiction"}
a 14
act 1
added 2
after 4
agency 1
agent 4
agents 2
an 5
and 25
arrives 1
as 4
assassinate 1
at 3
attack 1
attacks 1
attractive 1
be 3
been 4
believe 1
between 1
big 1
blade 1
board 2
body 1
bond 25
boobytrapped 1
both 1
breath 1
bribes 1
british 3
brutal 1
bulgarian 1
bullet 1
but 4
by 6
captain 1
captured 1
case 1
catfight 1
chessplaying 1
chiffre 1
cigarette 1
cipher 1
claiming 1
clerk 1
coincide 1
collects 1
colonel 1
commit 1
compartment 1
comradeship 1
concealed 1
condition 1
contains 1
corporal 1
counterintelligence 1
course 1
coveted 1
darko 1
dead 1
death 2
decoding 1
defeat 1
defect 1
delivering 1
detail 1
details 1
device 1
devise 1
dinner 1
discover 1
drax 1
drugged 1
due 2
duly 1
encounters 2
ends 1
enemy 1
escape 1
examined 1
executioner 1
executions 1
explode 1
express 1
fallen 1
falling 1
falsely 1
fellow 1
field 1
fighting 1
file 1
find 1
fires 1
floor 1
for 5
forms 1
found 1
from 3
front 2
full 1
go 1
grand 1
grant 8
gun 1
gypsies 1
has 4
have 2
having 1
he 5
head 2
heart 2
helps 1
her 6
him 6
himself 1
his 10
holding 1
homicidal 1
hugo 1
ignore 1
immediately 1
in 17
incentive 1
including 1
incognito 1
instead 1
intelligence 1
interrupted 1
is 14
issued 1
istanbul 2
it 2
james 1
kerim 7
kick 1
killed 2
killer 2
killing 1
klebb 2
kronsteen 1
later 2
le 1
leave 1
listed 1
london 1
love 1
m 2
machine 1
magazine 1
major 1
manages 1
master 1
meal 1
meet 1
meets 1
metal 1
mgb 1
mi6 4
months 1
moon 1
mortally 1
mr 1
much 1
nash 5
not 1
of 17
off 1
offer 1
on 2
operation 1
operations 1
orders 1
orient 1
ostensibly 1
out 1
over 1
own 1
pages 1
paris 1
part 1
persuade 1
photograph 1
plan 3
planned 1
planner 1
plans 1
pointing 1
poisoned 1
positions 1
post 1
precipitate 1
press 1
presumes 1
pretends 1
prize 1
protection 1
provide 1
psychopath 1
quickly 2
reassures 1
received 1
red 1
reputation 1
rest 1
retaliation 1
reveals 2
role 1
romanova 6
rosa 2
route 1
run 1
russian 1
scandal 1
secret 1
seeing 1
sent 1
service 4
sex 1
she 3
shoe 1
shoot 1
slips 1
smersh 4
some 1
soviet 3
spektor 7
state 1
station 1
steps 1
stop 1
story 3
subsequently 2
successfully 1
superior 1
superiors 1
suspicious 1
taken 1
takes 1
talks 1
targets 1
tatiana 4
tatters 1
tempting 1
terrorism 1
that 4
the 36
their 1
they 1
third 1
this 1
three 1
through 2
to 20
told 1
too 1
top 1
train 2
travelling 1
trickery 1
trieste 1
trip 1
turkey 3
two 2
unsure 1
up 1
urges 1
uses 1
wakes 1
warrant 1
when 2
which 3
whilst 1
whose 1
will 2
with 10
witnesses 1
world 1
wounded 1
young 1
