5708916
/m/0f0dt4
/m/0f0dt4


{"/m/06c9r": "Role-playing game"}
a 10
across 1
adventure 3
adventures 1
after 1
an 1
ancient 1
and 7
are 1
as 3
band 1
battling 1
be 1
been 1
by 3
can 1
center 1
characters 4
climax 1
consists 1
course 1
crawlstyle 1
creatures 3
dealing 1
depicted 1
described 1
describing 1
dinosaurs 1
divided 1
dread 1
dungeon 2
especially 1
even 1
exploration 1
explorations 1
explore 2
exploring 1
factions 1
familiar 1
featured 1
find 2
first 1
for 1
found 1
fragment 1
friendly 1
from 1
guard 1
has 2
hidden 1
high 1
hostile 1
in 4
including 1
inhabitants 2
inhabited 1
intelligent 1
interior 1
introduce 1
is 4
island 4
isle 2
it 3
its 3
king 1
known 1
kong 1
kopru 1
landfall 1
learn 1
less 1
level 1
log 1
make 1
many 2
masters 1
may 2
meant 1
medium 1
mindbending 1
module 1
monsters 1
monstrous 1
more 1
mysterious 2
near 2
number 1
numerous 1
of 15
on 2
only 2
or 2
original 1
other 2
out 2
pirates 1
place 1
players 1
plot 1
possibly 1
prehistoric 1
printing 1
problems 1
prominently 1
reminiscent 1
scenario 1
secrets 1
set 2
ship 1
simple 1
some 1
somehow 1
source 1
standards 1
stone 1
stumble 1
such 1
takes 1
tanaroa 1
temple 2
that 1
the 23
their 1
they 2
this 1
time 1
to 5
treasures 2
tropical 1
troublesome 1
typically 2
uncovering 1
unfamiliar 1
very 1
village 3
villages 1
wall 1
which 3
wilderness 1
will 1
with 2
