13011106
/m/02z37_v
/m/02z37_v
Philip MacDonald
1924
a 6
accomplished 1
acquaintance 1
agent 1
alibi 2
an 3
and 4
anthony 1
as 2
assigned 1
at 1
battered 1
but 1
cabinet 1
castiron 1
comes 1
concerned 1
correspondent 1
country 1
cover 1
crime 2
death 1
deed 1
established 1
everyone 1
exsecret 1
family 1
for 3
found 1
friend 1
gethryn 3
has 1
have 1
his 2
hoode 1
house 1
household 1
imaginative 1
in 1
investigate 1
invited 1
is 4
it 1
john 1
kind 1
library 1
member 1
minister 1
murdered 1
murderer 2
newspaper 1
occasional 1
of 4
recalls 1
reveals 1
seems 1
service 1
soon 1
special 1
story 1
the 10
though 1
thus 1
time 1
to 4
up 1
way 1
weekly 1
when 1
with 3
woodrasp 1
