7302007
/m/025yn9l
/m/025yn9l
Alistair MacLean
1984
a 2
aberdeen 1
aircraft 1
all 1
also 1
an 1
and 7
andreas 3
archie 1
arctic 1
attack 2
attempts 1
be 1
before 1
belonged 1
board 1
bombing 1
bosun 1
british 1
by 1
captain 1
change 1
charge 1
class 1
crosses 1
damaged 1
damages 1
dead 1
design 1
despite 1
destination 1
discover 1
during 1
en 1
escort 1
fail 1
first 1
follows 1
for 1
forced 1
frantic 1
frigate 1
from 3
german 2
granted 1
halifax 1
have 1
he 1
her 1
hospital 1
hull 1
ii 1
immunity 1
in 1
incapacitated 1
is 3
it 2
its 4
just 1
large 1
liberty 1
lights 1
mckinnon 1
merchant 1
most 1
murmansk 1
must 2
mysteriously 1
mystery 1
navy 1
nova 1
occurs 1
of 5
officers 1
on 2
painted 1
passage 1
predawn 1
reason 1
red 1
repeated 1
route 1
sabotage 1
safe 1
safety 1
san 3
scotia 1
scotland 1
senior 1
severely 1
ship 4
should 1
sides 2
sign 1
sink 1
sinks 1
steer 1
stormy 1
story 1
superstructure 1
take 1
that 1
the 12
to 6
traitor 1
trouble 1
uboats 1
unknown 1
violence 1
war 2
weather 1
what 1
when 1
with 2
world 1
