340909
/m/01y1kt
/m/01y1kt
Jack Kerouac
1957
{"/m/016lj8": "Roman \u00e0 clef", "/m/05hgj": "Novel", "/m/02xlf": "Fiction"}
10 1
100 1
14 2
147 2
148 1
150 2
37 1
40th 1
47 1
a 39
abandoned 1
abandoning 1
about 3
absolutely 1
accompany 1
accomplished 1
across 1
action 1
active 1
admired 1
adventure 1
adventures 1
after 7
again 7
age 1
al 1
alan 2
algiers 1
all 2
allan 1
allen 1
alone 2
along 2
alright 1
also 4
alter 1
always 1
america 1
americana 1
among 1
amy 1
an 2
and 76
angeles 1
ann 1
another 1
ansen 1
anybody 1
anytime 1
appears 2
are 8
argument 1
around 1
arranges 1
arrive 1
arrived 1
arrives 2
as 13
ashland 1
at 5
attendant 1
attitude 1
aunt 1
aunts 1
author 1
autobiographical 1
available 1
baby 1
back 7
bakersfield 1
baseball 1
based 1
be 6
bea 1
becomes 2
been 1
beer 1
began 1
begin 1
beginning 1
begins 2
behind 2
being 2
better 1
between 3
bill 1
birth 1
boarding 1
boncoeur 3
book 3
bordello 1
border 1
both 1
bottom 1
bought 1
brief 1
briefly 1
bringing 1
brother 1
brought 1
bug 1
bugs 1
bull 2
bureau 1
burroughs 1
bus 7
buses 1
busting 1
but 11
buys 1
by 6
ca 1
cadillac 1
camille 9
camp 1
can 1
candle 1
cannabis 1
car 1
card 1
carefree 1
careless 1
cares 1
carlo 3
carolyn 1
carr 1
cassady 3
catalyst 1
catalyzes 1
celebrating 1
central 3
cents 1
chad 1
change 1
changes 1
character 1
characters 4
charlie 1
chase 1
chicago 1
child 1
christmas 2
cincinnati 1
city 4
classwikitable 1
clellon 1
cold 1
come 3
comes 1
coming 1
commitment 2
companions 1
complexity 1
concert 1
conflict 2
conflicts 1
constantly 1
contains 1
contemplative 1
continue 1
copy 1
cotton 1
crazy 1
creates 1
cross 1
cru 1
curious 1
cutest 1
damion 1
dancing 1
davis 1
days 1
dean 43
deans 4
december 1
decision 1
declines 1
deep 1
defends 1
degree 1
delirious 1
denies 1
denver 5
depart 1
departs 1
depressed 1
depth 1
describes 1
describing 1
detroit 2
devotion 1
dexter 1
diana 1
dilemma 1
dilemmas 1
direction 1
discussing 1
discussions 1
disheartened 1
disheveled 1
diverge 1
divorce 2
do 1
doesnt 1
doing 1
dollars 1
domestic 1
dont 1
dorothy 1
down 1
drinking 2
drive 1
drives 2
duke 1
dunkel 4
during 1
dysentery 2
eager 1
early 1
ecstatic 2
ed 5
ego 1
ellington 1
elmer 1
ends 1
entering 1
epic 1
era 1
euphoria 1
even 1
eventually 2
everything 2
excited 1
excursion 1
expecting 1
explore 1
extend 1
fag 1
fall 1
family 4
father 2
feeling 1
fictional 1
fields 2
fifty 1
final 1
finally 2
find 2
finds 3
first 4
five 2
flat 1
follow 1
following 3
folsom 1
for 20
ford 1
foreshadows 1
found 2
francisco 9
franco 1
frank 1
frantic 1
freedom 5
freespirited 1
friend 3
friendly 1
friends 3
frisco 1
from 8
full 1
fun 1
further 1
future 1
gabrielle 1
gaillard 1
galatea 3
games 1
gene 2
get 2
gets 3
ghost 1
ginsberg 1
girl 3
girlfriend 3
girls 1
give 1
go 3
goofnbsp 1
got 2
grand 1
greater 1
greatly 1
greb 1
gregoria 1
growing 1
had 5
hal 2
handed 1
hansen 1
harlem 1
harrington 1
has 10
hassel 1
have 4
haverty 1
having 6
he 32
head 1
hearing 1
helen 2
hell 1
henderson 1
henri 1
her 6
herbert 1
hes 1
him 9
himself 2
hingham 1
hinkle 2
his 30
history 1
hit 1
hitchhiking 1
hits 1
hobo 1
holding 1
holmes 2
holy 1
home 1
hometown 1
hooks 1
hoping 1
hotel 1
hour 1
house 1
how 2
hudson 1
huncke 1
husband 1
hustle 1
i 10
ian 1
if 1
ill 1
impossible 1
in 41
inez 4
initially 1
injured 1
inspiration 1
interest 2
internal 1
introduces 1
invites 3
is 25
island 1
isnt 1
it 6
italy 1
itch 1
its 3
itself 1
jack 1
jane 2
january 1
jazz 3
jeffries 1
jersey 1
jim 1
joan 2
job 2
john 1
johnson 2
join 1
