5204285
/m/0d7pyt
/m/0d7pyt
Henrik Ibsen

a 9
again 1
agrees 1
all 1
and 10
arnholm 2
around 1
as 3
asked 1
baby 1
because 2
between 1
big 1
bolette 2
bolettes 1
break 1
but 2
by 1
called 1
can 1
captain 1
centred 1
choose 2
chooses 1
claim 1
come 1
daughter 1
daughters 1
deeply 1
died 1
doctor 2
dr 1
earlier 1
ellida 5
ellidas 1
ends 1
engaged 1
engagement 1
escape 1
favour 1
fearing 1
fetch 1
finally 1
fjord 1
for 3
former 2
freedom 1
get 1
goes 1
great 1
grew 1
had 3
has 4
he 10
headmaster 1
health 1
help 1
her 9
hilde 1
him 3
his 3
hold 1
hope 1
however 2
husband 1
in 6
into 1
invited 1
is 4
it 1
lady 1
later 1
leaving 1
lighthousekeeper 1
lives 1
love 2
loves 1
marriage 1
married 1
marry 1
mental 1
met 1
mountains 1
murdered 1
nevertheless 1
no 1
norway 1
now 1
of 2
on 1
only 1
open 1
opportunity 1
options 1
or 1
other 1
out 1
over 1
play 2
previous 1
proposes 1
put 1
recognizes 1
returns 1
sailor 3
school 1
sea 2
sees 1
she 8
since 1
small 1
some 1
son 1
strains 1
symbolic 1
taking 1
teacher 1
that 3
the 12
their 1
then 3
these 1
thinks 1
this 4
to 11
together 1
too 1
town 1
tried 1
tutor 1
two 1
understands 1
up 3
wait 1
waiting 1
wangel 4
was 1
west 1
where 1
who 1
widowed 1
wife 1
with 1
world 1
years 2
