1333969
/m/04tkrd
/m/04tkrd
Connie Willis
1992
1320 1
1348 1
14th 1
20 1
20542055 1
21st 1
21stcentury 1
300 1
a 13
able 1
about 1
absence 1
acting 1
adventurous 1
afraid 1
after 4
ages 2
ahrens 2
air 1
all 1
also 1
although 1
amnesia 1
among 1
an 3
and 21
angel 1
appearing 1
appreciate 1
are 2
arrange 1
arranged 1
arranges 1
arrival 3
arrive 1
arrived 2
arrives 1
as 12
at 5
attempts 1
authorities 1
awakens 1
back 1
background 1
badri 2
barely 1
be 1
because 1
been 4
before 1
being 2
believing 1
bell 1
between 1
black 3
blood 1
boy 1
brought 1
but 1
by 3
came 1
can 3
care 2
caused 1
causes 1
causing 1
century 4
chapel 1
charge 1
chaudhuri 1
circumstances 1
city 1
clean 1
closed 1
clothing 1
colin 1
collapses 1
come 1
comes 2
commonly 1
companion 1
conclude 1
condensation 1
confident 1
congregation 1
convent 2
coordinates 1
could 1
covered 1
cropped 1
cuts 1
dangerous 1
date 1
day 1
days 2
deadly 1
death 5
decision 1
delirium 1
delivering 1
department 1
desperation 1
despite 3
devotion 1
dialect 1
die 2
dies 2
different 1
dig 1
dirt 1
discovers 1
disease 1
disrupts 1
do 1
doctor 2
drop 3
dunworthy 7
during 3
duty 1
dying 2
earlier 1
early 1
ease 1
educated 1
effectively 1
encounter 1
encouraged 1
england 4
engle 1
english 1
enhance 1
enhanced 1
entire 1
epidemic 3
escape 1
even 3
eventually 1
exact 1
fakes 1
fall 2
falls 1
family 1
far 1
father 2
fears 1
feels 1
fever 1
find 1
fine 1
finish 1
first 1
fled 1
flu 1
for 8
found 2
fourteenth 2
frantically 1
friend 1
from 6
future 1
gateway 1
gilchrist 2
girls 1
god 3
good 1
grave 1
graveyard 1
greatnephew 1
grow 1
had 3
hair 1
has 5
have 3
having 1
he 4
head 2
help 1
helped 1
her 17
him 1
himself 2
his 9
historian 2
history 1
home 1
horse 1
ill 3
illness 2
immune 1
impossibility 1
in 20
including 1
inconsistencies 2
infected 2
influenza 5
insisted 1
instructor 1
intended 1
is 11
it 5
its 1
james 1
jerkin 1
job 1
just 1
kivrin 16
know 1
knows 1
lacking 1
last 2
later 1
leads 1
learned 1
lies 1
light 1
little 1
local 1
located 1
location 1
lose 1
make 1
manor 3
many 3
maps 1
mary 2
may 1
mean 1
medical 1
medicines 1
medieval 1
members 1
men 1
messenger 1
middle 3
misinterpreted 1
modern 1
monk 1
more 1
move 1
mr 7
must 1
mysterious 1
narrative 1
narratives 1
near 1
nearby 1
nearest 1
neither 1
net 3
new 2
nuns 1
nursed 1
of 14
on 1
only 2
opens 1
or 1
order 2
originally 1
other 1
out 2
overwhelms 1
own 2
oxford 3
pandemic 1
parallel 1
parishioners 1
passes 1
past 3
peal 1
people 1
period 2
persuades 1
plague 1
plan 1
planned 1
point 2
points 1
possessing 1
prearranged 1
prepared 1
prestige 1
previously 1
priest 1
professor 2
project 2
quarantined 1
rare 1
read 1
realize 1
recognize 1
reluctant 1
rescue 1
rescuers 1
residents 2
respective 1
result 1
retrieval 1
return 4
reveals 1
reverse 1
roche 3
running 1
same 1
save 1
scientific 1
selfless 1
send 2
sending 1
sent 1
set 1
several 1
severely 1
she 25
shimmering 1
short 1
shortly 2
sick 3
side 1
similar 1
site 1
sits 1
skills 2
some 1
sound 1
specializing 1
staff 1
staying 1
still 1
story 1
stranding 1
stretched 1
stricken 1
suddenly 1
suffering 1
swathe 1
sweeping 1
switches 1
system 1
takes 2
technician 2
tending 1
than 3
that 5
the 76
their 2
them 1
these 1
they 1
thin 1
this 2
thought 1
three 1
through 3
time 8
to 35
tolling 1
too 3
track 1
transmitted 1
travel 3
tries 4
trip 1
try 1
two 2
unable 1
unfortunately 1
university 2
unusual 1
up 1
used 1
useless 1
via 1
victim 1
victims 2
village 2
virus 1
visit 1
was 3
watch 1
wearing 1
weeks 1
well 1
what 2
when 4
where 2
which 1
while 2
who 5
whose 1
will 2
with 6
within 1
woman 1
women 2
work 1
would 1
write 1
wrong 1
year 1
years 2
young 2
