22182859
/m/05q838b
/m/05q838b
Joseph Hansen
1970

a 3
accident 1
after 1
an 2
and 3
arrives 1
assume 1
begins 1
behind 1
being 1
beloved 1
beneath 1
between 1
body 1
boyhood 1
brandstetter 1
bridge 1
car 1
collecting 1
dave 1
despite 1
destroyed 1
died 1
discovery 1
evidence 1
following 1
for 1
fox 2
friend 1
friendship 1
gumshoe 1
has 1
he 1
his 3
in 1
indicates 1
innocent 1
instance 1
insurance 1
investigator 1
just 1
lies 1
manager 1
narrow 1
no 1
nononsense 1
of 3
old 1
olson 1
on 1
once 1
otherwise 1
police 1
pop 1
road 1
scene 1
seemingly 1
shown 1
sign 1
soon 1
star 1
suddenly 1
that 2
the 3
there 1
twenty 1
up 1
what 1
when 1
why 1
wife 1
wooden 1
years 1
