7490052
/m/0263bbp
/m/0263bbp
Patricia Cornwell
1997
{"/m/0lsxr": "Crime Fiction"}
a 3
adrenaline 1
ambitious 1
an 2
and 8
andy 1
as 1
background 1
beat 1
brazil 2
can 1
character 1
charlotte 3
chief 2
contemporary 1
cop 1
core 1
courage 1
creator 1
crime 1
cunningly 1
death 1
department 1
deputy 1
dynamic 1
eager 1
eagervolunteer 1
fascinating 1
fiction 1
for 1
force 1
genuine 1
guardian 1
hammer 2
headturner 1
heart 1
heartbreak 1
her 3
heroes 1
heroics 1
hilarity 1
in 1
inner 1
into 1
is 2
job 1
judy 1
kay 1
law 1
lead 1
learn 1
lives 1
married 1
metropolitan 1
most 1
now 1
observer 1
of 9
or 1
order 1
personally 1
police 3
professionally 1
propels 1
pump 1
reporter 1
reveals 1
rush 1
scarpetta 1
secrets 1
she 1
simmering 1
sometimes 1
soul 1
strong 1
tedium 1
tension 1
that 1
the 16
through 1
to 4
too 1
trio 1
troubled 1
unexpected 1
us 1
virginia 1
walk 1
west 2
who 1
with 2
work 1
yet 1
younger 1
