19300257
/m/04lfkd8
/m/04lfkd8
Caroline Lawrence
2005
a 8
aboard 1
about 1
acropolis 1
actually 1
advice 1
after 1
along 1
already 1
amnesia 2
and 17
are 1
aristo 10
aristos 1
arrive 1
as 1
ask 2
asked 1
asking 1
athens 1
atticus 2
back 1
be 3
bed 1
been 1
before 1
beggar 2
believes 2
believing 1
beside 1
body 1
boy 2
brother 1
but 4
by 1
called 1
captained 1
catch 3
catching 1
cave 1
chase 1
children 1
city 1
colossus 1
coma 2
come 1
corinth 3
could 1
crying 1
cured 1
decides 1
deep 1
delphina 1
departure 1
descend 1
describes 1
different 1
dion 4
discovers 1
does 1
dying 1
each 1
ends 1
eventually 1
everyone 1
falls 1
father 3
feverish 1
find 3
finds 1
flavia 10
follow 1
for 1
forgive 1
forgives 1
friends 3
from 2
furies 1
girl 1
go 1
greek 1
guilty 1
had 1
has 2
have 2
he 5
helen 1
help 1
her 5
him 5
his 6
home 1
house 1
how 2
in 10
information 1
innocence 1
into 3
is 7
islands 1
jonathan 2
kidnapped 1
kindly 1
leave 1
let 1
lives 1
locks 1
lose 1
loves 1
lupus 3
meet 1
mother 2
murder 1
night 1
nikos 2
not 1
now 1
nowhere 1
nubia 3
of 4
off 3
on 1
ones 1
other 2
out 3
over 1
passengers 1
priest 1
prophecy 1
provides 1
pythia 4
realise 1
relax 1
rescued 1
rhodes 1
run 1
sailor 1
save 1
says 1
seen 1
sets 1
she 3
ship 1
sneaks 1
socrates 1
stabs 1
still 1
stop 1
storms 1
suffering 1
surprised 1
temple 2
that 5
the 13
their 1
them 3
then 1
they 12
to 13
too 1
travelling 1
true 1
trying 2
tutor 1
two 2
understand 1
up 4
useless 1
wake 1
wakes 1
ways 1
when 1
which 3
while 1
who 1
with 2
witnessed 1
young 1
