12501516
/m/02w97qz
/m/02w97qz
Vera Caspary
1945
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
113 1
33 1
a 28
abbie 1
able 1
about 4
absolutely 1
accessory 1
acquaintances 1
act 1
after 3
afterwards 1
agitatedly 1
ago 1
all 3
also 1
although 1
always 1
am 1
among 2
an 7
and 32
announces 1
any 1
anything 2
architect 1
are 3
area 1
arrival 3
arrive 1
arrived 1
as 6
aside 1
assumed 1
at 11
attempts 1
attractive 1
attributes 1
away 1
back 1
bag 2
be 5
beauty 1
because 1
becomes 1
bed 2
bedelia 12
bedroom 1
been 5
before 1
beginning 1
behind 2
being 2
belongings 1
ben 3
bitter 1
both 1
boy 1
brilliant 1
brought 1
brushes 1
but 1
by 9
capable 1
case 1
categorically 1
caught 1
causes 1
centuries 1
certain 1
chances 1
chaney 7
charlie 18
childless 1
christmas 3
circle 1
claims 1
cleared 1
cochran 1
cold 2
colorado 1
comes 2
companion 1
concerning 1
connecticut 1
consequence 1
considered 1
considers 1
convince 1
convinced 1
cottage 2
courageously 1
cousin 1
current 1
day 1
days 1
dead 1
dear 1
death 3
deceased 1
delayed 1
deliberately 1
delivery 2
determined 1
diagnoses 1
didnt 2
die 1
died 1
dignitaries 1
disappearancemdashwith 1
disbelief 1
discloses 1
distressed 1
divorcee 1
doctor 3
domineering 1
down 2
downstairs 1
drink 1
due 1
during 1
dying 1
each 1
eat 1
educated 1
ellen 2
employed 1
enjoys 1
europe 1
eventually 1
ever 1
everyone 1
exceedingly 1
fact 1
facts 1
fallen 1
family 2
fathertobe 1
favour 1
feminine 1
fetched 1
finally 1
finds 1
first 2
flirting 1
food 2
for 6
former 2
frail 1
freezing 1
friend 1
friends 1
from 5
front 1
gallantry 1
gently 1
given 2
gives 1
goes 2
gone 1
good 1
gorgonzola 1
gradually 1
grand 1
great 1
greet 1
groceries 2
growing 1
guests 2
guilt 1
hands 2
hard 1
has 12
have 4
having 1
he 13
heart 1
heavy 1
her 25
him 6
himself 2
hired 1
his 11
hoffman 1
holiday 1
home 2
homemdashall 1
horst 3
horsts 3
hostess 1
house 4
household 1
housemdashhis 1
how 1
however 2
humbly 1
husband 1
husband3s 1
husbands 2
i 5
identify 1
identity 1
illness 1
im 3
imaginative 1
immediately 2
impending 1
in 21
increasingly 1
innocence 1
insists 1
installed 1
into 4
intruder 1
investigator 1
is 18
it 2
ive 1
journalist 1
know 1
knows 1
ladylike 1
large 1
latter 1
leaves 1
leaving 2
less 1
let 1
life 4
lifestory 1
little 1
lived 1
living 1
local 1
locks 1
long 1
longer 1
lord 1
love 2
luckiest 1
lying 1
made 1
madeup 1
make 1
making 1
male 1
man 2
married 2
master 1
may 1
me 1
meeting 1
men 1
met 2
meyers 3
might 1
moment 2
months 1
more 1
most 1
mother 1
mrs 1
much 1
must 1
my 1
name 1
natural 1
need 1
never 2
new 2
nights 1
no 2
not 1
novel 1
now 2
nowhere 1
nurse 2
obedient 1
obeyed 1
of 30
offensive 1
old 3
on 6
one 4
only 1
or 2
order 1
ordered 2
orders 1
ostensibly 1
out 2
overwork 1
own 1
painter 1
paper 1
parental 1
part 1
party 2
past 1
perfect 1
personal 1
physician 1
piece 1
pillars 1
plans 1
poison 2
poisoning 1
powder 1
pregnant 2
present 2
previous 1
private 1
professional 1
proposal 1
protection 1
proud 1
pull 1
puritan 1
quack 1
railway 1
ramblings 1
realizes 1
recently 1
recognize 1
recovers 1
refusal 1
regarded 1
rejected 1
relative 1
reminded 1
removed 1
rented 1
resists 1
responsible 1
retired 1
road 1
roads 1
running 1
said 2
same 1
saved 1
seen 1
senile 1
serial 1
serves 1
several 2
severe 2
sexy 1
she 8
shortly 1
should 1
showing 1
sick 3
since 1
slowly 1
small 1
smile 1
sneaks 1
snow 1
snowbound 1
snowcovered 1
snowed 1
snowstorm 2
so 2
society 1
some 2
sort 1
springs 1
sprinkling 1
station 2
stay 1
steadily 1
still 2
stomachache 1
stormy 1
story 1
strength 1
strict 1
strong 2
submissive 1
submitted 1
suddenly 1
summer 1
superior 1
suspicion 2
sweet 1
take 2
taken 1
talk 1
talking 1
telephone 1
tell 1
than 1
that 6
the 40
their 2
them 2
then 2
there 1
they 1
this 2
those 1
time 3
to 21
told 2
too 1
top 1
town 2
track 1
tried 1
true 1
try 1
turned 1
turning 1
under 1
unless 1
unnamed 1
up 1
upon 1
upstairs 1
utter 1
van 1
vehicle 1
very 1
walker 2
want 1
was 3
ways 1
weak 1
well 1
welldressed 1
wellestablished 1
when 1
which 3
while 2
white 1
who 8
whose 1
widow 2
wife 5
will 1
winter 1
with 11
without 1
witness 1
woman 2
woods 1
working 1
world 1
worry 1
would 1
wouldnt 1
yale 1
year 1
yearold 1
york 1
you 6
young 3
your 2
