853231
/m/03hbn2
/m/03hbn2
Jon Krakauer
1996-10
16 2
8 1
a 3
adopted 1
adventure 1
agencies 1
alleges 1
an 1
and 3
andy 1
are 1
asked 1
base 1
before 1
between 2
book 3
by 2
camp 1
childhood 1
chronologically 1
clients 1
climb 3
climbing 2
commercialization 1
competition 1
compromised 1
could 1
deaths 1
decision 1
desire 1
despite 1
during 1
editor 1
essential 1
events 2
eventual 1
everest 4
expedition 2
experience 1
experienced 1
for 4
from 1
get 1
given 1
guides 2
guiding 1
hall 1
harris 1
have 1
having 1
he 1
his 4
however 1
idea 1
in 4
including 1
initially 1
intentions 1
jon 1
journalist 1
krakauer 6
leading 1
little 1
magazine 2
may 1
methods 1
mostly 1
mountain 4
mountaineering 1
moves 1
no 1
of 3
off 1
on 3
only 1
or 1
original 1
outside 1
over 1
participate 1
place 2
professional 1
purely 1
push 1
put 1
reawakened 1
recorded 1
report 1
rival 1
rob 1
safety 1
season 1
so 1
some 1
sometimes 1
stated 1
story 2
summit 3
take 1
takes 1
tells 1
that 4
the 19
their 1
there 1
to 10
tragedy 1
train 1
unfolding 1
up 2
was 1
were 1
which 1
with 1
worldhigh 1
year 1
years 2
