28623936
/m/0cz8gtr
/m/0cz8gtr


{"/m/050z5g": "Chivalric romance"}
a 6
act 1
after 1
all 1
amiloun 6
amis 9
amoraunt 1
an 1
and 6
angel 1
angels 1
appears 1
are 2
around 1
as 1
battle 1
be 1
beautiful 1
begs 1
belisaunt 2
betrays 1
blood 1
born 1
both 1
but 3
by 3
cannot 1
castle 1
children 2
cup 1
cure 1
cured 1
different 2
dreams 1
driven 1
dubbed 1
duke 4
ensues 1
even 1
falls 1
for 2
found 1
friends 1
from 1
get 1
girl 2
golden 1
gotten 1
guilty 1
had 3
have 1
he 5
him 3
his 3
in 4
indeed 1
intact 1
is 4
kills 1
kingdom 1
land 1
later 1
leper 1
leprocy 1
leprosyafter 1
living 1
love 1
married 1
miraculously 1
nephew 1
not 1
now 1
of 3
out 1
owain 1
parents 1
parts 1
performs 1
place 1
plot 1
poem 1
recognized 1
relations 1
returns 1
revolves 1
same 1
saying 1
seduces 1
serve 1
since 1
steward 2
struck 1
succeeds 1
swear 1
sworn 1
takes 1
tended 1
that 2
the 12
their 1
they 1
though 1
to 6
told 1
trial 1
two 1
was 1
were 1
which 2
while 1
who 2
wife 1
will 1
with 4
would 1
year 1
young 1
