6822288
/m/0gqrw6
/m/0gqrw6
Paul Scott
1977
130 1
1500 1
a 20
able 1
about 2
acquaintances 1
adapt 1
adds 1
administration 1
afford 1
after 1
also 3
amateur 1
among 1
an 6
and 22
annex 1
arch 1
are 2
army 2
as 6
ask 1
asked 1
aspect 1
at 4
attack 1
attentiveness 1
back 3
backwards 1
bank 1
be 1
because 1
bed 1
been 3
behind 1
being 1
between 2
bhoolabhoy 3
bhoolabhoys 1
blames 1
books 1
box 1
brash 1
brave 1
breaks 1
briefly 1
british 3
businessmen 1
but 6
by 8
came 1
can 1
captain 1
carriage 1
characters 1
choose 1
church 1
city 1
clear 1
clipped 1
colonel 1
comfortably 1
commerce 1
companion 1
competing 1
consortium 2
context 1
continuity 1
contrast 1
conveyance 1
correspondence 1
could 2
couple 2
daughter 1
dead 1
demands 1
die 1
differently 1
dinner 1
discussing 1
division 1
do 1
downcast 1
downstairs 1
dramatics 1
dreamt 1
drinking 1
drops 1
dull 1
early 1
eggs 1
elsewhere 1
engagement 1
england 3
entered 1
entreats 1
erected 1
ever 1
example 1
expat 1
face 3
facing 1
fact 1
fairly 1
falls 1
feet 1
fellow 1
finances 1
financially 1
flies 1
focuses 1
for 5
formerly 1
free 1
from 2
frustration 1
fulfilling 1
funeral 1
gardener 1
glamorous 1
goes 1
good 1
greed 1
ha 1
had 5
hairdresser 1
hairdressing 1
has 4
have 2
he 8
heart 1
her 14
herself 3
hill 1
him 3
his 6
horsedrawn 1
hotel 6
how 2
however 1
human 1
humorous 1
hundred 1
hurt 1
husband 1
husbands 1
ibrahim 1
idea 1
if 3
ill 1
impotent 1
in 17
incapable 1
includes 1
increasingly 1
independence 1
india 2
indian 3
indias 1
indignities 1
induces 1
insisting 1
instructs 1
intimate 1
into 1
invites 1
is 15
issue 1
it 8
job 1
last 4
latter 1
layton 1
learn 1
leave 1
leaving 1
left 1
letter 3
life 4
lila 1
limiting 1
listening 1
living 1
lodge 2
london 1
long 1
looking 1
loquacious 1
love 1
low 1
lucy 4
lucys 1
maid 1
maintain 1
make 1
making 1
management 1
manager 1
marrying 1
meanwhile 1
mentioned 1
minnie 1
mixed 1
modernity 1
moment 1
moved 2
mr 1
mrs 3
much 1
navigate 1
nearby 1
nevertheless 1
new 2
no 1
not 2
notes 1
nothing 1
notice 1
now 3
numerous 1
obliged 1
obstinacy 1
obtuseness 1
of 23
off 1
officer 1
officers 1
often 1
old 1
on 8
onat 1
one 2
only 3
order 1
organ 1
out 3
overshadowed 1
overweight 1
owner 1
ownership 1
pankot 4
part 1
path 1
pathological 1
pays 1
pecking 1
poached 1
point 1
ponderings 1
preferred 1
prepares 1
pressing 1
previously 1
principal 1
principally 1
prohibited 1
purposeless 1
put 1
puts 1
quartet 2
question 1
quicker 1
quit 1
race 1
rage 1
railway 1
raj 3
rank 1
ranked 1
ranpur 1
rapidly 1
receipt 1
received 1
reckless 1
recounts 1
relationship 1
relationships 1
remarking 1
remembers 1
replacing 1
requires 1
residence 1
reticence 1
retire 1
retired 1
retirement 1
retrospection 1
return 1
returned 1
richly 1
risen 1
rupee 1
sad 1
sarah 1
say 1
scrape 1
see 1
sense 1
servant 1
servants 1
service 1
setting 1
shabby 1
share 1
she 21
shiraz 1
shown 1
silence 1
since 1
single 1
sit 1
skilful 1
slow 1
small 1
smalley 2
smalleys 2
smiths 3
social 1
solitary 1
some 1
something 1
spoils 1
stand 1
staying 2
story 1
such 1
suffered 1
survivor 1
susy 1
swept 1
swords 1
symbol 1
symbolically 1
symbolised 1
taboo 1
take 1
taking 1
talks 1
telegraphese 1
tell 1
tells 1
temperamental 1
tentatively 1
than 1
that 6
the 43
their 3
they 4
this 5
thought 1
through 1
to 31
tonga 1
towers 1
town 1
towns 1
trade 1
transition 1
treasures 1
tries 1
turned 1
tusker 4
tuskers 2
two 1
up 1
upheld 1
upon 1
upstairs 1
utterances 1
verbless 1
very 1
vicars 1
visited 1
wallah 1
waned 1
was 3
we 2
wedding 1
were 2
what 1
where 1
which 1
white 1
who 6
will 2
with 4
woman 1
women 1
worked 1
world 2
would 1
writes 1
year 1
you 2
young 1
