1669902
/m/05m3gt
/m/05m3gt
Alexandre Dumas

2005 1
a 1
admiral 1
after 2
against 1
an 1
and 4
aristocrat 1
as 1
battle 1
bell 1
between 1
british 1
brothers 1
by 1
character 1
count 1
course 1
dumas 2
during 3
empire 1
events 1
for 1
french 3
hero 1
his 2
historical 1
historically 1
horatio 1
imagines 1
in 1
is 2
it 1
killed 2
killing 1
main 1
mdashclaude 1
montecristo 1
napoleonic 1
navies 1
nelson 2
new 1
novel 1
novels 1
of 6
old 1
place 1
preceding 1
protagonist 1
revolution 1
rise 1
same 1
schopp 1
seeks 1
sniper 1
spanish 1
subsequent 1
swashbuckling 1
takes 1
the 14
torn 1
trafalgar 1
two 1
unknown 1
vein 1
vengeance 1
vengeful 1
victory 1
vintage 1
was 1
ways 1
who 1
