4399108
/m/0c03_d
/m/0c03_d
Rex Stout
1953
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
10000 1
430 1
a 47
about 5
accepts 1
accuses 1
activities 2
ad 2
adjourn 1
admits 1
admitted 1
advice 2
after 7
against 1
agent 1
albert 1
alias 1
all 2
already 2
also 3
although 2
ambulance 1
among 1
an 3
and 49
another 1
anything 1
apartment 1
apparent 1
apparently 1
appeal 1
appears 1
archie 23
are 4
around 1
arrival 1
arrive 1
arrives 1
as 6
asked 3
asks 1
assadip 7
assault 1
assist 1
assistance 3
associates 2
association 1
at 6
attempt 1
attended 1
attributes 1
avoid 1
await 1
back 2
bank 1
basement 1
be 3
been 6
before 3
behavior 2
being 1
believes 1
between 1
beware 1
billiards 1
birch 8
blackmail 6
blackmailing 1
body 2
book 1
boy 1
bribe 1
brownstone 3
but 6
buy 1
by 8
caddy 1
cadillac 5
can 1
car 4
carries 1
case 2
catches 1
catchphrase 1
cather 1
certified 1
chair 1
charity 2
check 3
checks 1
childish 1
choice 1
claims 1
clear 3
coffee 1
comes 1
conceded 1
concerning 1
conference 1
conjecture 1
connection 1
contact 1
continues 1
conversation 1
cop 2
counsel 3
couple 2
cramer 4
day 2
days 1
death 4
deceased 1
decided 1
demands 1
dennis 2
dependable 1
detailed 1
detective 1
dictating 1
dinner 3
disabled 1
discovery 1
disgorge 1
displaced 1
display 1
do 3
does 1
donate 1
done 1
doorbell 2
down 1
dressed 1
dressing 1
driver 2
driving 1
drossos 3
durkin 1
each 1
earlier 1
earn 1
earrings 5
easy 1
egan 14
ego 1
elicit 1
embarrassed 1
encounters 1
ends 1
enlist 1
enough 1
entree 1
ervin 3
estey 1
ethics 1
even 1
evening 2
ever 1
evidence 1
explains 1
explore 1
extort 1
extortionist 1
face 1
favorite 1
fees 1
few 1
filled 1
finds 1
first 2
fly 1
followed 1
following 1
for 11
found 1
fred 9
friends 1
fritz 1
from 8
fromm 18
funds 1
garage 4
garnish 1
gathers 1
gave 1
gazette 1
generally 1
get 3
gets 2
getting 1
give 2
given 1
gives 1
go 1
goes 2
going 1
gold 2
goons 2
gotta 1
gray 1
gun 3
had 6
hand 1
has 11
have 3
he 16
heads 1
hear 1
heard 1
hearing 1
hears 1
heim 1
help 5
her 6
herbs 1
herself 2
him 11
himself 1
hints 1
his 15
home 1
horan 13
hours 2
household 1
how 1
hundreds 1
i 1
identifies 1
identifying 1
if 3
ignores 1
immigrants 1
immigration 1
implicated 1
implies 1
in 19
including 1
indicate 1
information 8
informs 1
inspector 2
integrity 1
intends 1
interests 1
interrupts 1
into 3
investigate 1
investigating 1
investigation 1
invites 1
involved 2
is 10
issuing 1
it 12
its 1
james 1
jean 1
jewelry 1
just 2
justify 1
keep 1
keeping 1
kicks 1
killed 3
knew 1
know 7
later 2
laura 2
lawyer 1
lawyers 1
leads 1
learn 1
learns 2
leave 2
leaves 1
lectures 1
left 2
legs 1
length 1
leopold 1
letters 1
like 4
looks 1
maddox 6
made 1
make 1
male 1
man 1
maneuvers 1
match 1
matter 1
matthew 3
meeting 1
mentor 1
merely 1
might 1
mind 1
money 5
more 3
morning 1
mortician 1
mother 2
mouthed 1
mrs 15
murder 1
murdered 1
murderer 1
named 3
names 3
naturalization 1
nearly 1
neighborhood 1
newark 1
next 3
night 2
not 6
note 1
notebook 2
notes 1
nothing 1
now 2
number 3
observes 1
obtain 1
occasioned 1
odds 1
of 25
office 2
old 1
on 8
once 1
one 2
only 1
operation 2
ordinary 1
orrie 7
other 2
out 4
outstanding 1
over 2
owner 1
paid 1
panzer 1
participant 2
party 3
passenger 2
people 2
person 2
personal 2
pete 19
peter 1
phone 2
phones 1
play 1
plot 1
police 2
pose 1
posing 1
possession 1
possible 1
prank 1
precinct 1
presence 1
present 1
prior 1
proceeds 1
progress 1
proprietor 1
propriety 1
provide 1
public 1
purley 1
pursue 1
put 1
question 1
quite 1
racket 2
ran 1
rare 2
ready 1
recent 1
reflected 1
refugee 1
refuses 1
regards 1
relieved 1
remainder 1
replevy 1
report 1
reported 1
reports 1
represent 1
responds 1
response 1
responses 1
results 1
retainer 4
retains 1
return 1
reveals 1
reviews 1
ring 1
rings 2
robust 1
routine 1
run 1
said 1
same 1
satisfies 1
saul 12
saved 1
saw 3
say 1
says 1
scams 1
scene 1
scheme 1
secretary 1
see 1
seeking 3
seems 1
seen 1
sends 1
sergeant 1
series 2
service 1
several 1
sewn 1
shaped 2
she 9
shoots 1
showed 1
shows 1
slams 1
slander 1
so 3
some 2
someone 1
something 1
soon 1
sounds 1
spate 1
spider 4
spiders 2
standing 1
starts 1
stay 1
stebbins 5
