16545511
/m/03y9k4c
/m/03y9k4c
Richard Kelly
2006-09-15
1 1
2 1
2008 3
30 1
6 1
a 30
abilities 1
act 1
administered 1
against 1
all 3
also 2
amnesia 1
an 1
and 35
angeles 4
apocalypse 1
apparently 1
appears 1
are 4
army 1
around 1
arrive 2
as 1
asking 1
asks 6
at 3
attending 1
back 1
balducci 1
barn 1
barnyard 1
bathroom 2
be 1
beach 1
because 2
become 1
becomes 1
before 1
began 1
begin 1
begins 4
behind 2
believe 2
below 1
big 1
bills 1
bleeder 2
bleeders 2
bleednot 1
body 1
book 1
both 1
boxer 23
brings 1
brother 2
brotherroland 1
buffalo 1
but 1
call 1
calls 1
cane 2
carmichaels 1
caused 1
chair 1
character 2
chase 1
cheer 1
chemical 2
cheri 1
chief 1
comes 1
conducting 1
conspiracy 1
contact 1
contract 1
cousin 1
crazy 1
create 1
crowd 1
days 3
dead 1
death 1
deck 1
describe 1
desert 1
destroy 1
detail 1
die 1
died 1
dies 1
dion 1
discussing 1
do 2
document 1
doesnt 2
dont 1
dose 1
down 1
drafted 1
dream 5
dreaming 1
driving 1
drugover 1
due 2
earth 1
entire 2
experienced 1
experiment 3
faints 1
falls 2
father 3
feel 1
fellow 1
fieldman 1
films 1
final 1
finally 1
first 1
fluid 5
for 9
fortunio 2
forward 1
found 1
friend 1
from 6
fucking 1
futureat 1
futureman 1
get 1
gets 1
getting 1
giant 1
girlfriend 1
goes 1
going 1
got 1
government 1
ground 2
guide 1
guided 1
had 2
has 2
he 30
head 1
her 12
hermosa 1
hide 1
him 11
himself 1
his 15
hit 1
home 1
house 1
houseboat 1
huge 1
husband 3
hypnotised 1
if 1
impersonate 1
in 18
indian 3
information 1
inga 2
injections 1
inside 3
instructs 1
into 6
introduced 1
introduces 1
involved 1
iraqi 1
is 23
isboxer 1
it 6
january 1
jericho 3
jimmy 1
july 1
june 1
kane 1
karma 5
keep 1
keeps 1
kicks 1
kidnapped 1
know 1
krysta 6
krystas 2
lake 1
lands 1
later 1
leaders 1
leading 1
leads 1
learn 1
level 1
like 1
long 1
los 4
loss 1
make 1
makes 1
man 5
many 1
map 1
maze 2
mcbride 1
meet 2
member 1
memory 1
middle 1
mirror 4
mission 1
moments 1
months 1
movement 1
much 1
name 1
named 2
natural 2
need 1
neomarxist 2
neomarxists 1
night 1
not 1
now 2
numerous 1
of 19
off 1
on 4
onto 1
or 1
oteria 1
other 1
out 3
outside 1
over 1
own 1
pacification 1
parlour 1
part 3
party 1
people 1
plaza 1
portal 1
power 1
producer 1
program 2
prophecy 1
psychic 1
read 1
reason 1
recently 1
recognise 1
remain 1
remember 1
research 1
revelation 1
revolution 1
rick 4
ricktawnas 1
roland 3
ronald 11
runs 1
rushing 1
same 2
santaros 2
sarah 1
saw 1
saying 1
says 1
scientists 1
script 2
see 3
seeing 1
seems 1
sees 2
sent 1
set 1
several 3
she 4
shockedits 1
shot 2
show 1
shows 1
side 1
signed 1
snake 1
so 1
something 1
stairs 1
standing 1
still 2
substance 1
sudden 2
suffering 1
syringe 2
syringes 1
system 1
tab 2
take 1
takes 3
taking 1
talking 1
tattoo 1
tattoos 1
taverner 3
tawna 5
telephone 1
telling 1
tells 7
that 17
the 57
them 2
then 4
there 2
they 10
this 2
three 1
tied 1
tiedup 1
time 4
to 29
told 1
too 1
took 2
topsecret 1
treer 1
twin 1
twins 1
two 1
uncovered 1
unit 1
unpleasant 1
up 6
upset 1
upu 1
urban 1
use 1
usident 2
van 1
venice 1
very 1
visit 1
volunteered 2
von 1
wakes 1
wandering 1
war 1
was 7
waysthis 1
we 3
weeks 1
westphalen 1
when 1
where 4
whether 1
which 2
who 5
why 1
wildly 1
will 1
with 5
woman 1
work 2
would 2
yet 1
you 1
zora 5
