5682433
/m/0dzy1p
/m/0dzy1p
Vince Flynn
2005-10-11
{"/m/02xlf": "Fiction"}
10 1
20 1
a 24
abandoned 1
abdullah 2
abel 15
about 2
adviser 1
afghan 1
afghanistan 1
after 3
agent 1
agree 1
agrees 1
ahmed 1
aid 1
aims 1
alive 1
all 3
alqaeda 1
also 2
ambitions 1
america 1
an 2
and 46
angered 1
anibal 1
anna 3
antics 1
any 1
anything 1
are 1
arthroscopic 1
as 6
asks 1
assassin 1
assassins 4
assistant 1
at 3
attack 1
austria 1
authorized 1
avenged 1
baby 2
back 1
backfired 1
bay 1
be 2
beats 1
because 1
become 1
before 1
begins 1
behind 1
being 2
bicyclists 1
billionaire 1
bin 1
blows 1
boardwalk 1
boater 1
body 1
bodyguards 1
bomb 1
both 1
bounty 2
bribes 1
brings 1
british 1
brought 1
bunkers 1
burns 1
businessman 1
but 2
by 3
capture 1
captures 1
carefully 1
castillo 4
cheasepeake 1
cia 5
claudia 7
coleman 9
collar 1
come 1
completely 1
consent 1
contacts 1
continues 2
contributions 1
convinced 1
counterterror 1
covers 1
coworker 1
current 1
custody 1
day 2
dc 1
dead 1
deaf 1
death 3
decides 3
despite 1
destruction 1
details 1
detonates 2
detonator 1
different 1
director 2
discovered 1
discovers 2
do 1
doesnt 1
dollar 1
down 2
dressed 1
drops 1
during 1
ears 1
east 1
embraces 1
encounters 2
epilogue 1
erich 2
examining 1
exchange 1
explosives 2
faked 1
fakes 1
fall 1
famous 1
father 2
file 1
files 1
finds 4
fire 2
flies 1
flynn 1
folder 1
for 7
forced 1
former 2
found 1
friend 2
from 4
front 1
full 2
gang 1
gave 1
german 1
gets 1
gives 1
goal 1
goes 2
gould 3
government 1
grenade 1
guards 3
guilty 1
gun 2
had 1
has 12
have 1
hayes 1
he 20
head 4
hearing 1
hears 1
her 2
him 12
himself 3
hires 1
hiring 1
his 24
holding 1
holds 1
home 1
hostage 1
house 5
however 1
hunt 1
hunting 1
husband 1
impression 1
in 16
information 4
injuries 1
inside 1
intelligence 2
interest 1
interfere 1
into 2
investigate 1
investigation 1
involved 1
irene 1
irs 1
is 10
it 3
jihadist 1
jog 1
keep 1
kennedy 2
kill 6
killed 1
killing 2
kills 3
knee 2
knew 1
later 2
latino 1
latter 1
leader 1
leads 1
learned 1
learning 1
learns 1
leaves 2
left 1
let 1
like 1
limping 1
loses 1
louie 6
louis 1
man 1
mark 1
mastermind 1
meantime 1
meeting 1
melting 1
memorial 1
men 4
million 2
mitch 1
months 1
more 1
morning 1
morrell 1
mosque 1
mountain 1
mouth 1
much 1
muhammed 1
murder 1
must 1
named 1
national 2
navy 2
nawaf 1
nearby 1
new 1
next 1
nine 1
no 1
not 4
novel 1
nuclear 2
obtained 1
ocean 1
of 20
off 1
office 1
officer 1
on 7
once 2
one 2
only 1
operative 1
orders 1
out 4
outside 1
people 1
personal 1
personnel 1
photo 1
physically 1
pieces 1
pin 1
places 1
plan 2
plot 2
position 1
pregnant 2
preserving 1
presidency 1
president 2
prevent 1
previous 1
prince 1
prison 2
pulls 2
put 1
puts 2
questioned 1
rapp 44
rashid 9
realizes 1
reckless 1
recuperate 1
requests 1
rescuing 1
respect 1
retired 1
retreat 1
revealed 1
reveals 2
role 1
ross 6
russian 1
saeed 6
safehouse 3
sas 1
satellite 1
saudi 3
saved 1
scott 1
seal 1
secret 1
secretary 2
security 1
sends 2
set 1
settle 1
severely 2
she 2
shock 1
since 1
slapped 1
son 2
source 1
spain 1
specifically 1
stasi 1
staying 2
stepping 1
stone 1
stop 1
storage 1
street 1
support 1
surgery 1
surveillance 1
suspect 1
sympathetic 1
tahiti 1
tayib 1
tayyib 6
team 1
tells 1
temper 1
terror 1
that 9
the 44
their 1
them 1
then 6
there 3
thermal 1
they 2
thirteen 1
this 3
though 1
through 4
throws 2
to 32
topic 1
torture 1
tortures 1
torturing 1
towards 1
trails 1
travels 1
turns 1
twelve 1
two 2
ultimate 1
uncovered 1
under 1
undergoes 1
unharmed 1
us 1
use 1
useful 1
vest 1
views 1
violent 1
visit 1
visiting 1
waheed 9
walking 1
want 1
wants 1
war 1
warns 1
was 6
washington 2
weapon 1
wear 1
when 1
where 3
whereabouts 1
while 1
white 1
who 9
wife 6
with 6
words 1
would 1
wounded 1
wounds 1
yet 1
