6898803
/m/0gw24p
/m/0gw24p
Justin Somper
2007-07-01
a 4
academythe 1
according 1
adventures 1
all 1
and 2
appealing 1
are 1
await 1
be 1
behind 1
between 1
book 1
both 1
but 2
cannot 1
connor 2
continue 1
dare 1
discriptives 1
divided 1
duck 1
experiences 1
fabled 1
feeling 1
finding 1
fourteen 1
good 1
grace 2
has 1
hes 1
his 3
in 1
including 1
incredible 1
is 2
isnt 1
it 1
journey 1
left 1
life 2
like 1
loyalties 1
manufacturing 1
may 1
meanwhile 1
new 1
not 1
novel 1
of 3
on 1
only 1
pirate 3
really 1
return 1
second 1
shake 1
she 3
ship 1
shipmates 1
sister 1
so 1
taken 1
tempest 1
terror 1
that 1
the 7
them 1
tide 1
to 6
try 1
twins 1
vampirate 1
vampirates 1
water 1
well 1
