19279045
/m/04ld29r
/m/04ld29r
Harry Turtledove

{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction"}
161 1
1610 1
1661 1
1782 1
1804 1
1812 1
188 1
a 13
activists 2
after 1
all 1
america 2
and 8
animals 1
appear 1
are 1
area 1
argument 1
as 2
at 1
attorney 1
away 1
back 1
bear 1
beings 2
but 1
by 4
captured 1
cats 1
charles 2
colony 1
companion 1
contemplates 1
corresponding 1
court 1
daughter 1
decision 1
descendant 2
develops 1
diary 3
edward 2
effects 1
elephantpulled 1
emancipation 1
ends 1
enough 1
enslave 1
entries 2
entry 1
eventually 1
evolution 1
experimentation 1
explore 1
fail 1
female 1
first 1
for 2
forces 1
found 1
from 3
goes 1
group 2
hairy 1
has 1
he 2
health 1
held 1
henry 2
her 1
him 1
his 3
hiv 2
hivaids 1
hope 1
houseslave 1
human 3
hybrid 1
impregnating 1
in 6
including 1
infant 1
infected 1
inhibitor 1
interior 1
is 8
jamestown 1
jeremiah 1
kenton 2
kept 1
kidnapped 1
lab 1
leads 1
made 1
matt 2
medical 1
medicine 1
must 2
named 1
no 1
north 2
nursed 1
observing 1
of 16
on 2
one 3
only 1
origin 1
other 2
owns 1
pepys 4
populate 1
presents 1
protesting 1
quick 2
race 1
real 1
reason 1
replace 1
rescue 3
researchers 1
resulting 1
return 1
rights 1
rockies 1
running 1
samuel 1
scout 1
series 1
several 1
sim 3
simhuman 1
sims 8
slaves 1
spearfang 1
species 1
steamdriven 1
story 2
successful 1
suppresses 1
take 1
teeth 1
that 4
the 21
theory 1
there 2
these 1
they 2
this 1
thomas 1
threaten 1
to 7
trains 2
trapper 1
trial 1
tribe 1
up 2
various 1
virginia 1
watching 1
well 1
which 1
while 1
who 1
wild 2
will 1
wingfield 2
with 3
wounded 1
