603595
/m/02vlvd
/m/02vlvd
Rodman Philbrick
1998
{"/m/03mfnf": "Young adult literature"}
a 5
about 2
abusive 1
accident 1
accuses 1
along 1
already 1
also 1
and 16
arrive 1
arrives 1
away 1
back 1
be 1
because 1
birth 1
black 1
book 2
bus 1
but 1
catch 1
chivalry 1
clothing 1
coming 1
committing 1
conartists 1
died 1
dip 1
dippy 1
discovers 1
drives 1
ends 1
father 2
finding 1
for 1
frank 2
freak 1
frequently 1
friend 1
from 1
go 1
grandfather 1
grandparents 1
grim 1
has 1
have 1
he 1
hearse 1
helps 1
her 5
hippie 1
his 3
hobo 1
hop 1
in 4
into 2
it 1
joanie 1
joe 1
kane 1
kevin 1
kidnapping 1
leave 1
live 1
love 1
max 10
maxwell 1
meet 2
mentions 1
mining 2
money 1
montana 1
mother 1
nicknamed 3
of 5
old 1
on 1
out 1
overly 1
pitch 1
police 2
prairie 2
rachel 2
read 1
reading 1
religious 1
rest 1
reward 1
run 3
runs 1
safaway 1
schooner 2
she 1
so 1
stepfather 1
suicide 1
take 1
talks 1
that 1
the 14
them 4
then 1
there 1
they 4
thinks 1
throughout 1
to 4
train 1
tunnel 2
tunnels 1
turns 1
two 1
undertaker 3
way 2
wears 1
who 1
with 6
worm 8
