30866961
/m/0gg8g_d
/m/0gg8g_d
Linda Colley


1707 1
1745 1
1830s 1
a 11
abolition 1
act 1
after 2
against 2
american 1
an 1
and 15
are 1
as 1
at 1
attentive 1
based 1
be 1
because 2
begins 1
bonded 1
bring 1
britain 3
british 7
britishness 2
britons 7
but 1
by 4
calling 1
came 1
carve 1
catholic 3
center 1
century 1
challenged 1
citizens 3
class 1
closes 1
colley 1
commitment 1
common 1
constant 1
contends 1
country 1
crises 1
debates 1
definition 1
degree 1
destabilization 1
developed 1
did 1
differences 1
directly 1
diverse 1
during 2
economic 1
effort 1
efforts 1
empire 3
enemy 1
engage 1
english 1
especially 1
european 1
europeans 1
expansion 1
family 1
financial 1
firmly 1
first 1
for 4
forces 1
forcing 1
foreign 1
france 2
from 1
gave 1
george 1
gone 1
government 2
great 1
growth 1
hanoverian 1
her 1
his 2
history 1
however 2
huge 1
ideas 1
identity 3
iii 1
image 1
in 5
increased 1
influences 1
insurrection 1
interests 1
into 2
isles 1
it 2
jacobite 1
just 1
largely 2
lead 1
leading 1
left 1
life 2
losing 1
loved 1
made 1
majority 1
mass 1
men 1
mercantilism 1
merchant 1
military 3
monarchy 1
more 2
motivated 1
movement 1
napoleonic 2
nation 3
needed 1
niche 1
not 1
note 1
now 1
number 1
of 22
on 1
opportunities 1
opportunity 1
originally 1
out 1
over 2
overwhelming 1
own 1
parliamentary 1
participation 2
patriotic 1
people 1
peoples 1
perceived 1
period 1
political 3
power 2
predecessors 1
protestantism 2
provided 2
public 2
question 1
reexamine 1
reform 3
regard 1
reinforced 1
resurgence 1
revolutionary 2
rights 1
royal 2
rule 1
scottish 1
sense 1
set 1
seven 1
shaken 1
slavery 1
small 1
so 1
sphere 1
stand 1
still 1
stuart 1
subjects 2
success 1
support 1
taking 1
than 1
that 2
the 36
their 4
themselves 1
these 1
three 1
to 12
today 1
too 1
total 1
trade 1
transformed 1
turning 1
twin 1
unifying 1
union 2
unity 2
unsuccessful 1
uprising 1
war 5
wars 1
was 5
welsh 1
were 1
when 1
which 2
with 5
women 2
working 1
would 1
years 1
