5459336
/m/0dmt_5
/m/0dmt_5
Greg Bear
1988
a 21
about 1
absorb 1
academic 1
accomplishment 1
accumulated 1
acquired 1
advanced 1
advantages 1
after 2
age 1
aging 1
ago 2
aiding 1
alexander 1
alexandria 1
alien 1
alive 1
all 5
along 1
also 1
an 4
and 41
another 1
appears 2
are 2
around 2
arrival 1
arrive 2
artifacts 1
as 7
asia 1
assigned 1
at 5
attempted 1
attempting 1
attendant 1
away 2
axis 3
back 5
backlash 1
balked 1
barbarous 1
bare 1
be 5
became 1
become 1
been 6
before 2
began 1
begin 1
beginning 1
begins 1
being 2
beings 1
believe 1
believes 1
benefit 1
between 2
billions 1
body 2
brethren 1
but 9
by 5
can 1
captured 2
cauldron 1
central 1
changed 1
changes 1
citizens 2
city 4
civilization 2
claims 1
clavicle 2
collapse 1
comes 1
command 5
commercial 1
communal 1
completely 1
conception 1
concerns 1
conflict 1
connect 1
connived 1
consciousness 2
consensus 1
consequences 1
contrast 1
controlling 1
correctly 1
corrode 1
could 1
covertly 1
created 1
creating 1
creators 1
data 4
day 1
death 4
decision 1
deep 1
deepest 1
defense 1
deliver 1
deposed 1
descendant 4
despite 1
destroy 1
destroying 1
destroys 1
destruction 3
devastating 1
did 5
die 1
died 1
dies 2
digitized 1
digitizing 1
disappears 1
discovered 1
discovers 1
disintegrates 1
distracted 1
down 4
dropped 1
during 1
earth 7
effectively 1
effects 1
effort 1
efforts 1
elected 1
empire 1
en 1
encounters 1
end 2
energy 2
engage 1
enough 1
entity 1
eon 3
essence 1
events 1
everything 1
expanded 1
expanding 1
expedition 1
fact 1
failure 1
final 5
finally 1
finite 1
first 1
firstly 1
fluctuation 1
for 6
former 1
forms 1
found 1
founded 1
fragment 1
frants 1
freed 2
freshly 1
friend 1
from 5
frustrated 1
further 2
gaia 8
gate 9
gather 1
geshels 3
gifts 1
gives 1
go 1
goal 1
god 1
gods 2
government 1
grand 1
granddaughter 1
great 1
grows 1
growth 1
guild 1
had 8
happen 2
happened 1
has 5
have 3
he 10
heal 1
her 9
hexamon 4
hidden 1
hierarchical 1
him 3
himself 1
hinterlands 1
his 5
home 2
homeworld 1
horse 1
however 1
human 1
humanity 1
hundreds 2
hypateion 1
hypatia 1
immensely 1
impossible 1
in 18
indeed 1
ineffable 1
inevitable 1
inherited 1
institute 1
instruct 1
intellect 1
intelligence 1
intelligences 2
intends 1
interest 1
interesting 1
into 6
invade 1
investigates 1
is 8
it 14
its 5
itself 1
jart 9
jarts 6
killed 1
kilometers 1
know 1
known 1
knows 1
korzenowski 4
last 1
learn 1
leaves 1
life 1
like 1
likes 1
located 1
location 1
long 1
longsundered 1
loved 1
make 1
mammoth 1
many 2
masse 1
mathematician 1
meantime 1
mentality 1
merge 1
message 1
metacivilization 1
mind 9
mirsky 5
mission 1
modifies 1
moments 1
more 1
moves 1
naderites 1
name 1
nearlight 1
needed 1
never 2
next 1
nick 1
night 1
not 9
of 48
off 3
old 2
olmy 7
omnipotent 1
omniscient 1
on 11
one 4
ones 1
onto 1
open 1
opened 3
opener 1
opens 1
or 3
orbit 1
order 2
ordering 1
original 1
other 1
otherworldly 1
out 1
outrun 1
over 3
own 1
oyu 6
parallel 1
particularly 1
passes 2
patricia 7
pavel 3
persuade 1
persuades 1
piece 1
pity 1
place 2
population 1
portion 3
possibly 1
powerful 1
precocious 1
present 1
president 1
primary 1
process 1
prods 1
proper 1
properly 1
prospects 1
protagonist 1
protouniverse 1
purpose 1
queen 3
quietly 1
quite 1
radically 1
reached 1
real 1
reappears 1
rebuild 1
reconstitute 1
reconstituted 1
reference 1
regardless 1
relativistic 1
remained 1
reopen 2
reopened 1
reopening 1
report 1
representative 1
rescued 1
researchers 1
resources 1
respect 1
return 2
returned 1
returns 1
reveals 1
revelation 1
rhita 7
risk 1
ruthlessly 1
ry 6
sabotage 1
sealed 2
secondly 1
secrets 1
segment 1
sends 1
sent 2
sentiment 1
ser 2
service 1
she 6
should 2
side 1
single 2
singularityflaw 1
size 1
slowly 1
small 1
so 1
some 1
somewhere 1
son 1
space 1
special 1
speed 1
spend 1
split 1
station 1
still 2
stone 2
storing 1
strains 1
studies 1
study 1
succeeds 1
support 1
supported 1
survive 1
surviving 1
take 2
task 1
technology 1
teilhardian 1
test 4
than 1
that 15
the 110
their 7
them 2
themselves 2
then 1
there 1
they 9
thinking 1
thirty 2
this 4
thistledown 1
threatening 1
three 1
through 1
tidbits 1
time 4
tiplerian 1
to 46
took 4
transcendent 1
transformed 1
transition 1
transmission 1
transmit 4
traveled 1
trip 1
trojan 1
try 1
trying 1
two 1
ultimate 2
unbounded 1
underestimates 1
understanding 1
universe 3
unsatisfied 1
up 1
uploaded 1
urgent 1
usable 1
useful 1
vasquez 2
version 1
very 1
voyaged 1
waiting 1
warns 1
was 11
way 20
ways 1
well 1
went 1
were 2
what 4
when 4
where 4
which 7
who 6
whoever 1
whom 1
whose 2
will 4
wishes 1
with 5
without 1
witness 1
world 2
wouldbe 1
years 4
yet 1
young 1
