22989300
/m/064mjv8
/m/064mjv8
Friedrich Dürrenmatt
1986
a 42
about 1
above 1
accepted 1
achilles 9
across 1
aeroplane 1
african 1
after 3
again 2
against 1
aged 1
agents 1
agrees 1
alhakim 1
all 2
allow 1
allows 1
almost 1
alone 2
already 1
among 1
an 4
and 48
anyone 1
apparent 1
appearance 1
appears 2
are 1
arrive 1
arrives 1
article 1
as 4
asked 1
asks 1
asleep 1
assist 1
at 7
attempting 1
baby 1
back 1
ballistic 1
battery 1
be 5
beast 1
because 2
becomes 1
been 6
before 1
behind 1
being 2
belonged 1
bjrn 1
body 3
bomber 1
booked 1
born 1
boy 1
breakfast 1
built 2
but 2
by 12
cameraman 4
carrying 1
case 1
cell 1
central 1
chief 6
chosen 1
claims 1
clean 1
coat 5
collecting 1
come 1
comes 2
complete 1
compound 11
confessed 1
confessing 1
confiscated 1
congratulates 1
contemplates 1
continue 1
continued 1
cooperative 1
corruption 1
country 5
coup 1
courtyard 1
crew 4
crime 2
criminally 1
criminals 1
cut 1
cyclops 1
damaged 1
danish 2
dead 2
death 2
demise 1
denies 1
depleted 1
derelict 1
desert 6
desires 1
despair 1
despite 2
determined 1
dies 1
directly 1
disaster 1
discovers 1
dishevelled 1
dissuaded 1
distinctive 1
documentation 1
does 1
door 2
double 1
down 1
drunkenness 1
early 1
effects 1
employment 1
empty 2
even 1
evening 1
eventually 3
examines 1
excepting 1
executed 1
execution 2
expense 1
explains 6
explanation 1
exploded 1
explores 1
explosion 1
expose 1
f 24
fact 1
falls 1
fear 2
featuring 2
figures 1
film 5
filming 1
filmmaker 1
find 1
finds 4
first 1
flawed 1
fled 1
fleeing 1
flees 1
followed 1
following 1
footage 5
for 8
force 1
forced 1
foreign 1
found 3
frames 1
friend 1
from 6
front 1
fur 3
given 2
go 1
gossip 1
got 1
government 2
great 1
greek 1
grotesque 1
ground 2
habit 1
had 1
hammering 2
hanoi 1
has 9
have 2
hawk 1
he 11
head 7
heads 1
held 1
her 21
high 1
him 4
hired 1
hires 1
his 14
home 2
horror 1
hospital 1
hotel 5
how 1
however 3
human 1
husband 1
if 1
in 23
includes 1
incompetence 1
inconclusive 1
indebted 1
inhabited 1
injuries 1
insane 1
inside 1
instead 1
intercontinental 1
into 1
investigation 2
is 22
it 6
journalist 1
jytte 2
key 1
keyhole 1
killed 1
kitty 1
knowledge 1
knows 1
labyrinth 1
lambert 5
land 3
lands 1
largely 1
last 2
later 3
leave 1
leaves 3
left 2
likely 1
live 1
locate 1
located 1
location 1
locked 3
lone 1
m 2
machines 1
made 1
magazine 1
maid 1
make 1
makes 1
man 1
many 1
marketplace 1
meaningless 1
measure 1
meets 1
military 3
ministry 1
missile 2
missiles 1
mistake 1
mistakes 1
moment 1
morning 2
murder 5
murdered 2
mysterious 1
mystery 1
name 1
named 2
nations 1
neighbouring 1
new 1
newspaper 1
next 2
night 1
no 1
none 2
north 1
not 1
now 1
number 1
observational 1
observe 2
observers 1
obviously 1
of 49
off 1
offers 2
officers 1
old 1
olsen 3
on 6
one 1
only 2
opposite 1
orbit 1
order 1
original 1
other 1
otto 3
out 7
over 2
overthrow 1
page 1
panic 1
passport 1
people 1
perfect 1
photograph 1
photographic 1
pilot 1
place 1
plane 1
planning 1
police 12
policeescorted 1
political 2
polypheme 15
polyphemus 1
portrait 3
possible 1
potentially 1
power 1
powerful 1
primary 1
process 1
products 1
professor 1
propaganda 1
protection 1
provided 1
provides 1
psychiatrist 1
purchases 1
put 1
quarters 1
question 1
races 1
raid 1
rape 3
raped 1
reads 2
realizes 1
reason 1
reconstruct 1
red 4
redundant 1
referred 1
rejected 1
relocated 1
remaining 1
remains 1
repeatedly 1
replaced 2
reserves 1
return 1
returns 1
reunited 1
revealed 1
reveals 1
revenue 1
room 4
rover 3
ruinous 1
ruins 2
rumours 1
running 1
sacrifice 1
same 1
satellite 2
satellites 1
saving 1
scandinavian 1
second 1
secret 7
sensitive 1
sent 1
series 1
serious 1
serve 1
service 4
setting 1
she 18
shelter 1
shot 1
show 1
shown 1
shows 2
sides 1
situation 1
sober 1
solved 1
soon 2
sound 1
source 2
speaks 1
spy 2
srensen 7
staffed 1
state 3
still 1
story 1
struck 1
studios 1
subterranean 1
sustaining 1
taken 5
takes 1
tanks 3
target 1
television 1
tell 1
tells 2
tendency 1
tenyearlong 1
test 2
testing 1
than 1
that 16
the 106
their 3
them 1
then 1
there 1
they 2
this 2
though 1
through 1
tickets 1
time 3
tina 6
titled 1
to 46
tortured 1
toward 1
traces 1
track 1
trail 1
travel 2
treason 1
truth 2
trying 1
turned 1
ultimate 1
unable 1
under 1
underground 1
uninhabited 2
unnamed 1
until 1
upon 1
use 1
used 1
uss 1
vague 1
van 1
vast 1
vehicle 1
victim 1
video 2
violent 1
visit 1
volkswagen 1
von 5
walk 1
walks 1
war 2
was 10
way 1
weakness 1
weapons 1
weaponsexporting 1
wearing 1
wears 1
were 2
when 3
where 3
which 4
while 1
who 5
whom 3
wife 2
will 3
with 6
without 2
woman 1
women 1
work 1
would 1
wounds 1
