18696093
/m/04gs6ns
/m/04gs6ns
Kelley Armstrong
2008-03-25
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/01qxvh": "Romance novel", "/m/08sdrw": "Adventure novel"}
a 9
abducted 1
ability 1
able 1
about 1
adams 2
all 1
also 1
an 2
and 10
apparently 1
approached 1
are 3
arrives 1
as 4
be 2
before 1
being 1
benicio 1
benoit 1
between 2
bigger 1
but 1
by 7
cabal 4
can 1
ceo 1
chaos 2
chaotic 1
chapter 2
chapters 1
characters 1
charismatic 1
check 1
come 2
cortez 7
council 1
debt 2
destroy 1
detect 1
discovers 1
distributed 1
evenly 1
events 2
ex 1
experience 1
expiso 2
father 1
fictional 1
find 1
for 3
gang 5
given 2
gives 1
guy 1
half 1
halfdemon 2
has 1
help 2
her 3
him 1
his 1
honour 1
hope 9
if 1
in 2
infiltrating 1
initial 1
instinct 1
interracial 1
investigate 1
investigating 1
is 5
jaz 1
job 2
journalist 1
karl 2
keep 1
killed 1
latter 1
led 1
lover 1
lucas 4
lust 1
mainly 1
marsten 1
may 1
member 1
members 1
miami 1
more 2
narrated 4
narrating 1
nature 1
news 1
newspaper 1
not 1
notice 1
numbers 1
of 9
offer 2
other 2
paige 1
particularly 1
parts 1
powers 1
prompts 1
rebel 2
rebels 1
relationship 1
repay 1
sense 1
she 1
simple 2
situation 1
sorcerer 1
starts 1
story 3
supernatural 1
supernaturals 1
tabloid 1
the 23
them 1
they 1
thief 1
third 1
this 1
those 1
thought 1
titles 1
to 9
true 1
two 3
visions 1
war 1
werewolf 1
which 1
while 2
will 1
winterbourne 1
with 4
works 1
worry 1
would 1
young 1
