77652
/m/0kb7d
/m/0kb7d
Ernest Hemingway
1940
a 8
able 1
action 1
advised 1
after 1
against 1
agony 1
aid 1
aided 1
alliance 1
ambush 1
american 2
an 6
and 13
another 2
antifascist 2
are 1
arises 1
as 2
assist 1
at 2
band 3
be 2
been 1
before 2
behind 1
being 2
betray 1
bids 1
both 1
bridge 2
brigades 1
brutality 1
by 6
camp 1
caps 1
captured 1
character 1
civil 3
clashes 1
coalition 1
commit 1
commitment 1
communist 1
comrades 1
course 1
decides 1
delaying 1
demolition 1
describes 1
destroy 1
destroyed 1
detonate 1
down 1
duty 1
dynamite 2
dynamiter 1
el 1
encounters 1
end 1
endanger 1
ends 1
enemy 4
ensures 1
escapes 1
executed 1
execution 1
experienced 1
experiences 2
falangists 1
fascist 2
fascists 1
few 1
fighter 1
for 4
forces 1
francisco 1
franco 1
from 3
general 1
goodbye 1
graphically 1
guerillas 1
guerrilla 1
guerrillas 2
had 1
hands 1
he 4
hemingway 1
her 2
him 1
himself 1
his 9
hoping 2
horse 1
however 1
improvises 1
in 8
inspired 1
international 1
is 5
it 1
jordan 8
kill 1
killed 1
knowing 1
late 1
launches 1
leader 1
led 1
lies 1
life 2
lines 1
local 1
love 1
lust 1
maimed 1
mara 3
may 1
members 1
mission 1
movements 1
narration 1
newfound 1
newspaper 1
north 1
novel 2
of 15
offensive 1
offer 1
officer 1
only 1
operation 2
oppose 1
order 1
ordered 1
out 2
outbreak 1
own 1
pablo 3
parents 1
part 1
pointless 1
prevent 2
primarily 1
protagonist 1
purposes 1
rape 1
refuses 1
rendering 1
reporter 1
republicans 1
respond 1
returns 1
right 1
robert 3
russian 1
safety 1
seeing 1
sense 1
shattered 1
she 1
shot 2
slow 1
soldiers 1
sordo 1
soviet 1
spain 1
spanish 3
stealing 1
strong 1
successfully 1
surrounded 1
surviving 1
tank 1
that 3
the 30
their 1
this 1
though 1
thoughts 1
through 1
to 17
told 1
too 1
travel 1
travels 1
troop 1
troops 1
under 1
union 1
unwillingness 1
upcoming 1
war 4
was 2
way 1
when 2
who 1
whose 1
with 3
woman 1
would 2
young 1
