27408552
/m/0c00ghv
/m/0c00ghv
Elmore Leonard
1980
a 5
about 1
albanian 1
and 1
away 2
be 1
beautiful 1
believes 1
but 1
by 1
carolyn 1
clement 1
cop 1
courtroom 1
crazed 1
crooked 1
cruz 2
detective 1
detroit 1
easy 1
even 1
execution 1
extort 1
from 2
gaping 1
get 1
going 1
good 1
has 1
his 1
holes 1
homicide 1
how 1
if 1
in 2
inflamed 1
into 1
ire 1
is 2
isnt 1
it 1
judge 1
justice 1
killer 1
knows 1
lawyer 1
legal 1
let 1
lulgjaraj 1
maneuvering 1
mansell 3
means 1
midwest 1
money 1
motown 1
moves 1
murder 1
nifty 1
novel 1
now 1
of 4
oklahoma 1
oldfashioned 1
one 1
only 1
original 1
place 1
psycho 1
raymond 1
second 1
senseless 1
seriously 1
showdown 1
skender 1
slip 1
some 1
story 1
system 1
takes 1
tells 1
thanks 1
that 2
the 7
them 1
through 1
time 1
to 5
toughasnails 1
tries 1
walking 1
while 1
who 2
wild 1
wilder 1
wildman 1
with 1
