9872426
/m/02pvgzf
/m/02pvgzf
Mack Reynolds

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
100 1
a 9
able 1
actual 1
after 1
aircraft 1
all 2
ambitious 1
an 2
and 5
anticipated 1
any 1
are 3
at 1
attractive 1
attracts 1
available 1
baron 6
bart 1
battles 1
be 1
been 2
before 2
began 1
best 1
between 1
born 1
business 2
but 2
by 2
can 2
captain 1
caste 1
castes 1
category 1
causes 1
chance 1
chosen 1
civilization 1
cogswell 2
combat 1
commander 1
conflict 1
conjunction 1
continental 2
corporations 1
daughter 1
decadent 1
deceased 1
desperate 1
died 1
disarmament 1
disputes 1
diversion 1
divisionsized 1
does 1
dr 1
dual 1
effort 1
else 1
employer 1
enemy 1
engineer 1
enough 1
even 1
expects 1
expensive 1
experienced 1
fans 1
few 1
fight 1
finds 1
finest 1
for 2
forced 1
forces 1
fracas 2
fracases 1
from 2
general 1
get 1
gimmick 1
glider 1
gliders 1
gradually 1
had 5
haer 3
has 2
have 1
he 9
head 1
headquarters 1
him 2
himself 1
hire 1
hires 1
hiring 1
his 7
hopeless 1
hovercraft 1
however 1
idea 1
improbable 1
in 6
including 1
influence 1
information 1
interest 2
into 3
invented 1
is 4
itself 1
late 1
learns 1
lifeanddeath 1
long 1
lowerlower 1
luck 1
maintain 1
makes 1
man 1
many 2
marshal 1
mauser 7
middlemiddle 1
midlower 2
military 4
mobility 1
much 1
nadine 1
natural 1
nine 1
no 1
not 1
of 11
off 1
officers 1
on 2
one 3
opportunity 1
or 1
out 1
pact 1
point 1
political 1
popular 1
popularity 1
population 1
positioned 1
possibility 1
powered 1
powerful 1
pre100 1
prevent 1
privileged 1
professions 1
promoted 1
provide 1
purpose 1
quickly 1
real 1
reasonable 1
recommends 1
reformminded 1
reservations 1
restricted 1
return 1
returns 1
ruinous 1
scoffs 1
see 1
sees 1
served 1
settle 1
settling 1
should 1
signs 1
situation 1
so 2
society 1
soldiers 1
something 1
son 2
sovworld 1
split 1
starts 1
state 1
status 1
still 1
stonewall 1
struggles 1
support 1
takes 1
technology 1
televised 1
tells 1
that 4
the 26
they 1
this 2
though 1
thought 1
time 1
to 12
transport 1
triumph 1
troops 1
tube 3
underdog 1
undisclosed 1
universal 1
unusual 1
up 4
upper 1
upperupper 1
upstart 1
upward 1
vacuum 3
vantage 1
victory 1
war 1
was 2
way 2
wealthier 1
wellhoned 1
werent 1
west 1
western 2
when 3
where 2
which 1
with 6
worked 1
working 1
years 1
