11268531
/m/02r5pdy
/m/02r5pdy
Hugh Lofting
1924
a 1
adventures 1
albert 1
an 2
and 6
are 1
as 1
assumed 1
at 1
based 1
be 1
becomes 1
between 2
bird 1
birdsong 1
blossom 1
book 3
both 1
by 1
canaries 2
canary 2
chronological 1
circus 3
composed 1
creates 1
despite 1
disrupts 1
doctor 10
dolittle 8
events 1
eventual 1
exclusive 1
fate 1
final 1
followup 1
for 1
former 1
from 1
garden 1
generally 1
green 1
he 1
her 1
in 4
inherited 1
is 4
jointly 1
later 1
life 1
london 1
male 1
much 1
novel 1
occurring 1
of 3
on 1
opera 2
operating 1
order 1
other 1
overwhelming 1
owner 1
pippinella 4
point 1
possesses 1
publication 1
revealed 1
runaway 1
series 1
she 1
special 1
species 1
still 1
story 1
success 1
that 1
the 12
this 3
time 1
to 2
trait 1
ultimately 2
using 1
voyages 1
well 1
what 1
with 2
zoo 1
