4843834
/m/0cql6r
/m/0cql6r
Lindsey Davis
1997
a 16
act 1
aelianus 1
after 4
afterwards 1
again 1
an 1
anacrites 4
and 20
annoyed 1
another 1
any 1
apartment 2
apprehend 1
aqueduct 1
aqueducts 1
are 1
arrives 1
as 4
asinia 2
asking 1
at 2
attackers 1
awards 1
baby 1
back 2
balbina 1
barely 1
be 1
beat 2
beats 1
been 3
before 1
being 3
blocked 1
body 2
book 1
brother 2
brotherinlaw 1
bruisers 1
but 4
by 3
caius 2
called 1
captures 1
case 2
cicurrus 1
claudia 5
clean 1
comes 1
consequences 1
continuous 1
corduba 1
cornella 1
country 1
daughter 1
defeat 1
depart 1
disastrous 1
discovered 1
discovery 1
down 2
drink 1
dumped 1
dying 1
easily 1
eloped 1
ends 1
enough 1
falco 11
fears 1
festivals 1
fiancee 1
finds 5
first 1
flaccida 1
florius 1
for 3
found 1
fountain 1
four 1
from 3
frontinus 1
given 1
gives 1
glaucus 2
goes 2
greatly 1
grieving 1
had 1
hand 3
hands 2
has 8
have 3
he 8
heavily 1
heiress 1
helena 3
help 3
her 3
him 2
his 11
home 1
however 1
husband 1
identified 1
in 5
injured 1
innocent 1
inscribed 1
investigate 1
is 9
it 5
julia 1
julius 1
junilla 1
justina 1
justinus 1
kicked 1
killer 1
laeitana 1
lair 1
later 2
light 1
liked 1
lives 1
looks 1
lost 1
man 1
men 2
milvia 4
mother 2
murderer 1
muscled 1
names 1
nearby 1
new 5
next 1
no 3
not 2
now 1
of 4
off 1
old 1
on 1
one 2
other 2
out 7
over 2
parts 2
party 2
petro 11
petronius 1
problems 1
proclaiming 1
put 1
puts 1
rather 1
receiving 1
reconnaissance 1
rescue 1
revealed 1
ring 1
rivers 1
rome 1
rufina 1
runs 1
same 1
search 1
second 1
send 1
sends 2
settle 1
several 1
severed 2
she 1
sign 3
slave 2
sneak 1
soon 1
start 1
stolen 2
street 1
subjected 1
such 1
suspects 1
taken 1
takes 1
talks 1
telling 1
that 7
the 16
their 1
them 1
they 2
this 1
thurius 3
time 2
to 20
told 2
took 1
track 1
trail 1
trainees 1
trainer 1
turns 1
two 2
unlike 1
up 6
usually 1
vanished 3
victim 1
visit 1
wedding 1
welcomehome 1
went 1
when 2
where 1
which 1
who 3
widower 1
wife 4
with 7
worker 1
working 1
years 1
