12528811
/m/02wbmwy
/m/02wbmwy
Helen Dunmore
2005
a 20
able 2
about 4
actually 1
affected 1
after 3
again 1
ago 1
air 2
all 3
also 3
amazing 1
an 4
anatomically 1
ancestor 1
and 34
angry 1
animals 1
another 1
anyone 1
apparent 1
apparently 1
are 1
area 1
argument 1
as 5
asked 1
at 7
away 2
back 2
balance 1
bawns 1
be 1
beautiful 1
became 1
because 1
been 2
bees 1
beginning 1
behaves 1
being 2
believe 1
below 1
best 1
blankets 1
boat 1
boy 2
boyfriend 1
brave 1
brother 2
buddy 1
bulls 1
but 4
by 6
call 1
calls 3
calm 1
can 1
carne 2
carved 1
coincidence 1
come 1
comes 1
communicate 1
connor 1
conor 11
couch 1
cove 4
cover 1
craving 1
dangerous 1
day 2
deeply 1
defend 1
die 2
died 1
disappear 1
disappearance 1
disappears 2
diver 1
diving 2
do 2
does 2
doesnt 1
down 2
dying 1
earth 1
elvira 2
even 1
eventually 1
ever 1
exactly 1
extremely 1
falls 1
familiar 1
faro 3
father 7
fearing 1
few 1
fierce 1
finds 2
first 3
firstly 1
flashback 1
foil 1
for 9
forget 1
from 4
get 1
gets 1
girl 3
give 1
go 4
goes 2
granny 2
gray 2
guardians 1
had 2
haircombing 1
happened 2
has 7
haunted 1
have 2
he 12
hear 1
hears 1
held 1
help 3
helps 1
her 19
him 6
his 1
hope 1
hostile 1
hours 2
how 1
human 3
humans 2
hurts 1
if 2
imparts 1
impossible 1
in 5
incident 1
ingo 6
inheritance 1
instead 2
into 4
is 16
it 4
just 1
keep 1
knife 1
knowledge 1
later 2
learns 1
leaves 2
left 1
legs 1
long 3
look 1
looking 1
love 1
makes 1
male 1
man 2
many 1
mathew 1
maybe 1
memory 1
mer 6
merboy 1
mermaid 4
merman 1
mind 1
more 3
mother 4
mysterious 1
name 1
named 1
near 2
nearby 1
nearly 1
never 3
new 1
next 1
night 1
nightmare 1
not 2
notices 1
of 8
older 1
on 2
only 1
or 1
other 2
out 3
owls 1
painful 1
passed 1
past 1
people 1
perched 1
plans 1
power 1
prepared 1
promise 1
protect 1
pulled 1
quick 1
ran 1
realises 1
realize 2
realizes 1
refuse 1
remembers 2
resides 1
rock 1
roger 5
salt 1
same 2
sapphire 9
sapphires 1
sapphy 8
sappy 1
save 1
say 1
saying 1
scalytails 1
scornful 1
screaming 1
sea 2
seal 2
seals 1
searching 1
secondly 1
secretly 1
sets 1
she 12
shocked 1
showing 1
since 1
sing 1
singing 2
sings 1
skin 1
slashed 1
sleeping 1
so 2
song 3
speaking 1
stay 1
still 1
stop 1
stops 1
strongly 1
stuff 1
suddenly 2
sung 1
surface 2
survive 1
swam 1
swim 1
tail 1
takes 2
tells 1
than 2
that 19
the 37
their 3
them 5
then 2
there 4
they 6
thing 1
thinks 1
this 2
through 1
thrown 1
time 3
to 24
told 1
trewhella 1
truant 1
two 1
underwater 1
until 1
up 2
very 1
voice 1
waist 1
waits 1
wakes 1
was 3
water 1
way 1
wearing 1
went 1
were 1
wetsuit 1
what 1
when 4
where 1
which 1
who 5
will 2
wise 1
with 8
woman 1
work 1
works 1
world 1
worried 1
year 1
years 1
you 1
zennor 1
