6467296
/m/0g6gjt
/m/0g6gjt
Anne McCaffrey
2001-04-03
a 5
abominators 2
active 1
advanced 1
after 1
aivas 2
all 1
allied 1
although 1
and 3
are 3
as 1
at 2
attack 1
attacking 1
band 1
book 1
brutal 1
by 2
chamber 1
citizens 1
comet 1
computer 1
consider 1
contemplating 1
craft 1
crafthalls 1
creation 1
danger 1
defense 1
destroy 1
determined 1
disabled 1
discovery 1
disgruntled 1
draconic 1
dragonriders 3
end 1
enters 1
evergrowing 1
fanatics 1
felines 1
flessan 1
formerly 1
free 1
future 1
he 1
his 1
holder 1
holders 1
housing 1
implies 1
in 3
introduced 1
is 2
keep 1
killed 1
large 1
leader 1
leads 1
life 1
lord 1
made 1
needed 1
new 2
not 1
of 7
only 1
pern 2
pernese 2
remain 1
resisting 1
resolve 1
rogue 1
role 1
same 1
seemingly 1
shankolin 1
skies 1
southern 1
star 1
strengthens 1
strikes 1
systems 1
tai 1
technology 3
telekinesis 1
that 3
the 13
their 1
these 1
this 1
threadless 1
time 1
to 4
together 1
toric 1
use 2
weyrleaders 1
when 1
where 1
with 1
world 1
