1769858
/m/05vl1x
/m/05vl1x
Haruki Murakami
2002
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
15yearold 1
a 13
abilities 1
adventures 1
after 2
age 1
aloof 1
alternating 1
an 1
and 11
are 1
as 5
attached 1
away 2
back 1
be 1
becomes 1
been 1
befriends 1
begin 1
between 1
bird 1
brutal 1
burton 1
but 2
by 1
called 1
can 1
case 1
cat 1
cats 1
chapters 3
chronicle 1
clear 1
collected 1
collision 1
comprising 1
connection 1
convergence 1
course 1
curse 1
days 1
distant 1
distinct 1
does 1
driver 1
due 2
each 1
embark 1
ending 1
escape 1
even 1
fact 1
far 1
father 1
find 1
finder 1
finds 1
first 1
for 1
forth 1
found 1
francis 1
from 2
greek 1
has 2
he 5
him 4
his 8
home 1
hoshino 1
house 1
in 9
inquiring 1
intelligent 1
interrelated 1
it 1
itself 1
kafka 3
library 1
life 1
lost 2
man 1
metaphysical 1
miss 1
modern 1
more 1
mother 1
much 2
murder 1
nakata 2
named 1
narrative 1
natsume 1
nights 1
novel 3
odd 1
oedipal 2
of 7
old 2
on 6
one 2
oshima 1
particular 1
parttime 1
passenger 1
path 1
place 1
plane 1
plotline 1
plots 1
police 1
private 1
puts 1
quest 1
quiet 1
reading 1
reality 1
reference 1
richard 1
road 1
run 1
running 1
runs 2
saeki 1
said 1
series 1
shelter 1
shore 1
sister 1
soon 1
spends 1
sseki 1
story 2
takamatsu 1
takes 3
taking 1
tell 2
that 2
the 20
their 1
theme 1
there 1
thousand 1
through 1
throughout 1
time 1
to 7
tragedy 1
translation 1
truck 2
two 2
ultimately 1
unabridged 1
uncanny 1
until 1
up 2
upon 1
very 1
welcoming 1
who 1
windup 1
with 1
work 1
works 1
