2059665
/m/06j7qd
/m/06j7qd
Walter Scott
1819
16445 1
a 6
after 1
against 2
all 1
allan 1
also 1
an 3
and 6
annot 3
are 1
aristocratic 1
armies 1
army 2
as 4
baby 1
been 2
behalf 1
being 1
between 1
blood 2
both 1
brought 1
but 1
by 4
campaign 1
captured 1
carnage 1
characters 1
charles 1
children 1
civil 1
clan 1
comic 1
concerns 1
contract 1
conviction 1
covenanters 1
dalgetty 3
detail 1
developed 1
did 1
disappears 1
discovered 1
does 1
dominates 1
dugald 1
during 3
earl 2
employer 1
end 1
enemy 1
english 2
eventually 1
expedition 1
experience 1
experienced 1
feud 1
fight 2
fighting 2
finest 1
fleeing 1
for 3
friend 1
gained 1
germany 1
girl 1
had 1
has 2
have 1
he 4
highland 1
his 3
however 2
i 1
in 3
into 1
involving 1
is 7
it 1
jealous 1
kidnapped 1
killed 1
king 1
known 1
leads 1
love 2
loyal 1
lyle 1
maceagh 1
maceaghs 2
main 2
marries 1
maulay 4
maulays 1
members 1
menteith 5
mercenary 1
mist 1
montrose 4
much 2
not 3
note 1
novel 1
of 11
on 1
one 1
or 1
out 1
parliament 1
place 1
plot 2
political 1
professional 1
purely 1
raging 1
really 1
regarded 1
religious 1
remains 1
rumoured 1
scott 1
she 1
sided 1
since 1
so 1
stabbing 1
still 1
story 2
subplot 1
survives 1
taken 1
takes 1
territory 1
that 2
the 20
then 2
thirty 2
this 1
to 4
triangle 1
up 2
various 1
very 1
war 2
was 1
whilst 1
who 2
with 2
woman 1
years 2
young 1
