24957772
/m/09g8b3c
/m/09g8b3c
Brandon Sanderson

{"/m/03qfd": "High fantasy"}
a 2
acquire 1
advantage 1
against 1
all 1
almighty 2
an 2
and 7
armies 2
armor 1
around 1
as 3
assaulted 1
at 1
attack 1
attempt 1
been 1
begins 1
book 2
by 2
called 1
cause 1
condition 1
constantly 1
cope 1
creating 1
decisive 1
defeat 1
entities 1
equips 1
eventually 1
evil 1
evolved 1
fashions 1
fauna 1
fight 1
fighters 1
flora 1
for 3
gathering 1
have 2
highstorms 1
hurricanes 1
ignoring 1
in 3
is 1
kings 1
knights 1
known 2
leave 1
magical 1
malevolent 1
mankind 1
many 1
of 4
one 1
over 1
phase 1
possession 1
radiants 3
reasons 1
referred 1
remaining 1
response 1
shardblades 3
shardbladewielding 1
shardplates 2
strife 1
suits 1
the 10
their 2
them 1
then 1
these 2
they 1
this 1
thus 1
to 4
turn 1
unknown 1
vanishing 1
voidbringers 2
want 1
warlords 1
wars 1
way 1
weapons 1
where 1
who 1
with 2
world 1
years 1
