1858211
/m/061m2j
/m/061m2j
Christopher Marlowe


a 12
abigail 2
advancing 1
against 1
aid 1
all 3
allowing 1
along 1
amoral 1
an 1
and 8
appears 1
apprised 1
army 2
arrive 1
as 4
assets 1
awarded 1
barabas 10
based 1
be 1
beautiful 1
beauty 1
becoming 1
before 1
begins 1
blackmailing 1
both 1
but 3
buys 1
by 3
campaign 1
character 1
childish 1
christian 1
christians 1
city 1
consigns 1
contains 1
control 1
count 1
couple 1
crimes 1
criminal 1
cynical 1
daughter 2
death 1
deeds 1
demand 1
die 1
disclosing 1
divulge 1
downfall 1
duel 1
each 1
embitter 1
engineer 1
escapes 1
execution 1
expresses 1
feigning 1
for 3
former 1
friars 1
friend 2
ghost 1
go 1
governor 3
governorship 1
hate 1
he 5
helps 1
her 1
herself 1
him 2
himself 1
his 6
hold 1
however 3
i 1
ignorance 1
in 6
incensed 1
into 1
introduced 1
introduces 1
is 8
ithamore 3
jew 1
jewish 1
kill 3
knights 1
leading 1
learns 1
left 1
lured 1
machiavel 2
machiavelli 1
malta 4
maltese 2
man 1
merchant 1
more 1
much 1
niccol 1
no 1
not 1
nunnery 1
nuns 1
of 13
on 4
only 1
other 1
owning 1
penniless 1
play 1
plot 1
poisoned 1
poisons 1
power 1
previous 1
prologue 1
prostitute 1
question 1
recovers 1
regain 1
religion 1
revenge 2
robbed 1
robbery 1
role 1
sack 1
saying 1
secrets 1
seized 1
senecan 1
she 1
ships 1
sin 1
slave 1
some 1
son 1
than 1
that 1
the 19
their 1
them 1
then 3
there 1
they 2
threaten 1
to 11
toyand 1
tragedy 1
tribute 1
turkish 4
turks 1
turn 1
turns 1
two 1
uses 1
view 1
wealth 2
when 2
which 3
who 3
with 2
