5297101
/m/0dd5md
/m/0dd5md
Mark Winegardner
2004-11-16
2006 1
after 1
also 1
and 6
are 3
as 5
background 1
brother 1
business 1
but 1
by 2
characters 2
clemenza 1
corleone 3
danny 1
deaths 1
deeper 1
don 1
dream 1
end 1
especially 1
events 1
expanded 1
expands 1
family 2
film 1
first 1
followed 1
fontane 1
frame 1
francesca 1
fredo 3
geraci 1
godfather 3
goes 1
hagen 2
half 1
his 2
how 1
ii 2
immediately 1
in 3
into 1
introduced 1
johnny 1
join 1
legitimizing 1
life 1
like 1
many 1
mentioned 1
michael 2
new 1
nick 1
novel 5
of 7
on 1
only 1
other 1
part 1
pete 1
picks 1
place 1
puzo 1
returns 1
revenge 1
role 1
sal 1
secret 1
service 1
shea 1
shows 1
sonny 1
story 1
take 1
tessio 1
the 17
this 1
time 1
tom 2
up 1
upon 1
war 1
was 1
well 2
winegardner 1
within 1
world 1
written 1
