1952851
/m/068jmb
/m/068jmb
Harry Turtledove
2001-07-31
{"/m/0mz2": "Alternate history"}
121 1
a 3
about 1
accomplish 1
administration 1
after 1
almost 1
also 1
america 3
and 13
angry 1
appointed 1
aristocracy 1
as 3
assassination 1
at 2
back 1
becomes 1
been 1
beginning 1
better 1
blackford 1
blacks 2
bloody 1
both 1
burton 1
but 1
by 2
calkins 1
causing 1
citizenrynbsp 1
conclusion 1
confederacy 1
confederate 5
congresswoman 1
conservative 1
cost 1
crippling 1
csa 3
currency 1
defenses 1
distrust 1
do 1
down 1
electing 1
elsewhere 1
ended 1
enemies 1
evoked 1
exact 1
exodus 1
fallen 1
featherston 1
fighting 1
flora 1
focus 1
for 2
force 1
former 1
freedom 4
from 1
goals 1
government 2
grady 1
great 1
groups 1
had 2
hamburger 1
hampton 1
have 1
having 1
he 3
him 1
his 2
hosea 1
ignore 1
ignoring 1
improving 1
in 6
inflation 1
it 1
its 3
jake 1
joins 1
leader 1
led 2
lives 1
longer 1
looming 1
marries 1
mass 1
masses 1
meanwhile 1
member 1
members 1
military 1
mitchel 1
money 1
myth 1
named 1
nationalistego 1
newfound 1
newly 1
no 1
north 1
notion 1
of 16
office 1
on 3
out 1
over 3
own 1
paper 1
party 8
perceives 1
pity 1
platform 1
plight 1
polls 1
popular 1
president 5
reparations 1
revenge 1
revival 1
ruthless 1
setbacks 1
since 1
sinclair 1
socialist 1
socialists 3
soldier 1
soon 1
south 1
southern 1
stabbed 1
stands 1
states 2
strength 1
suffered 1
support 1
take 1
takes 1
the 40
their 1
those 1
threat 1
three 1
to 7
trench 1
trimming 1
united 1
unleashes 1
upton 1
usa 4
uses 1
v 1
veterans 1
vice 1
victim 1
victorious 1
voted 1
wade 1
wait 1
war 1
what 1
which 1
whig 3
who 1
with 1
years 1
