458025
/m/02bx35
/m/02bx35
Yasunari Kawabata

{"/m/0hwxm": "Historical novel"}
138 1
a 4
against 1
almost 1
although 1
book 1
by 1
career 1
challenger 1
changed 1
chronicle 1
complete 1
die 1
game 2
go 1
he 1
his 1
honinbo 1
in 1
is 2
it 2
kitani 1
last 1
latter 1
lengthy 2
little 1
lost 1
master 2
minoru 1
months 1
name 1
narrowly 1
of 3
otak 1
over 1
player 1
respected 1
retirement 1
semifictional 1
shsai 2
six 1
struggle 1
the 7
thereafter 1
to 4
took 1
upandcoming 1
was 1
which 1
year 1
younger 1
