21677071
/m/05msbyx
/m/05msbyx
Bruce Marshall
1937
a 6
accountant 1
additional 1
adult 1
adventures 1
affair 1
agent 2
aid 1
also 1
an 4
and 4
arms 2
arranged 1
as 1
author 1
becomes 1
begin 1
blackmails 1
boss 3
but 2
by 1
cash 1
caught 1
character 1
children 2
company 1
contract 1
country 1
daughter 2
depends 1
discovering 1
discovers 1
embroiled 1
ends 1
english 1
escapes 1
espionage 1
fall 1
falls 1
fascist 2
fate 1
financial 1
firm 1
for 1
get 1
has 1
he 5
helps 1
him 2
himself 1
his 6
i 1
in 5
intervention 1
involve 1
irregularities 1
is 6
italian 2
italy 1
land 1
large 1
leg 1
like 1
lost 1
love 3
lover 1
luckypenny 4
luckypennys 3
married 1
negotiate 1
not 1
novel 1
of 4
out 1
promotion 1
rid 1
sale 1
scheme 1
sent 1
shattered 1
she 1
smuggle 1
some 1
son 1
spain 1
that 1
the 8
title 1
to 7
tom 2
two 1
unbeknownst 1
upon 1
virgin 1
war 1
way 1
when 1
where 1
who 1
with 4
woman 1
works 1
world 1
young 2
