14634862
/m/04z762
/m/04z762
Jaan Kross
1998
120s 1
a 8
after 1
aged 1
air 2
an 2
and 7
as 1
before 1
began 1
best 2
better 1
books 1
but 1
by 2
career 1
chance 1
character 2
childhood 2
czar 1
deny 1
depaigallend 1
despite 1
doing 1
down 1
due 1
education 1
ends 1
enjoys 1
enterprising 1
escaping 1
estonian 1
etpaigallend 1
excellent 1
factory 1
fate 1
father 2
fights 1
first 1
fled 1
for 1
forty 1
from 1
future 1
german 1
germany 1
gets 1
grammar 1
happy 1
he 4
him 1
his 7
hull 1
humiliations 1
in 7
is 4
it 2
jaak 1
jaan 1
joins 1
keisri 1
knew 1
kross 3
leaner 1
left 1
lets 1
life 1
lives 1
lover 1
madman 1
making 1
many 1
meeting 1
memories 1
memory 1
menial 1
minister 1
minor 1
most 1
mother 1
narrated 1
nationalists 1
novel 2
novels 1
now 1
occupations 1
of 14
offered 1
office 1
on 1
one 2
opens 1
opportunity 1
over 1
paerand 2
par 1
partly 2
passes 1
person 1
point 1
position 1
preserves 1
prime 1
principal 1
professional 1
recent 1
regarded 1
remainder 1
reminiscences 1
representative 1
republic 1
restoration 1
rising 1
schoolmate 1
schools 1
secondary 1
several 1
sirkel 1
some 1
soon 1
soviet 1
spirit 1
story 1
success 1
successful 1
suitcases 1
talented 1
tallinn 1
the 20
to 6
together 2
towards 1
treading 2
trip 1
ullo 6
until 1
upstanding 1
vatican 1
view 1
vision 1
voice 1
west 2
who 1
with 6
work 2
years 2
