15457550
/m/03m9z8c
/m/03m9z8c
Dorothee Metlitzki
1977
1001 1
245 1
a 3
about 1
according 1
achievements 1
addressing 1
adelard 1
alchemy 2
alfonsi 1
algebra 1
alkhwarizmi 1
alkhwarizmis 1
also 4
ancient 1
and 20
arab 1
arabic 11
are 2
aristotle 1
as 5
astronomy 3
author 1
authors 1
available 1
babylone 1
banned 1
based 2
bath 1
been 2
beginnings 1
begins 1
being 1
book 2
by 6
canterbury 1
chapter 1
chapters 1
charlemagne 1
chaucers 1
chivalry 1
christian 1
christians 1
clericalis 1
closely 1
collection 1
composed 1
consists 1
contributions 1
converted 1
crusades 1
depiction 1
details 1
development 1
disciplina 1
either 1
elements 2
english 6
entirely 1
euclids 1
examines 1
exjew 1
explains 1
explores 3
ferumbras 1
first 3
for 2
found 1
four 1
from 6
greek 1
had 2
held 1
her 1
heretical 1
history 1
how 1
ideals 1
ie 1
in 13
include 2
included 1
includes 1
including 3
influenced 1
interested 1
into 3
involved 1
is 1
islam 2
islamic 1
itself 2
ketton 1
key 6
latin 4
libraries 1
like 1
literature 2
lives 1
living 2
loosely 1
magic 1
math 1
medieval 2
metlitzki 4
michael 1
misunderstanding 1
morienus 1
most 1
mozarabs 1
muhammad 1
muslim 3
nights 1
of 20
on 5
only 1
or 1
oriental 1
others 1
page 1
part 2
particularly 1
petrus 1
pnbsp16 1
pnbsp1723 1
pnbsp26 1
pnbsp310 1
pnbsp48 1
pnbsp5210 1
poetry 1
primarily 1
prophet 1
quran 1
responsible 1
rhyming 1
robert 1
roman 1
romance 3
romances 1
romantic 1
romanus 1
rule 1
scholar 2
scholars 3
scholarship 1
scientific 2
scot 1
seminal 1
several 7
she 7
sicily 1
sir 1
some 1
sources 1
sowdone 1
spain 2
stories 3
storytelling 1
strongly 1
studying 1
such 2
suggest 1
suggests 3
tales 2
text 1
texts 11
that 6
the 23
themes 1
then 1
these 4
they 2
this 2
those 1
to 3
translated 2
translating 2
translator 2
transmitted 1
two 1
under 1
various 1
was 5
well 1
were 3
west 3
western 4
westerners 1
which 2
who 2
whose 1
works 1
writes 1
writing 1
writings 1
