14829643
/m/03gzc55
/m/03gzc55


{"/m/0lsxr": "Crime Fiction"}
a 3
after 1
all 1
alone 1
along 1
amateur 1
and 1
as 1
author 1
but 1
by 1
candlestick 1
celebrated 1
circle 1
clothes 1
companion 1
corpse 1
departing 1
event 1
explain 1
found 1
gerald 2
group 1
guest 1
hadleigh 3
he 1
his 3
host 1
however 1
idea 1
into 1
invite 1
is 4
jennings 2
john 1
leaving 1
max 2
midsomer 1
morning 1
murdered 1
next 1
no 1
novelists 1
of 2
opposed 1
overruled 1
peers 1
promptly 1
refuses 1
rex 1
savagely 1
sign 1
so 1
somewhat 1
special 1
st 1
stolen 1
stripped 1
the 4
to 2
tricked 1
uncomfortable 1
vehemently 1
why 1
with 3
worthy 1
writer 1
