18585836
/m/04g089x
/m/04g089x
Cornell Woolrich

{"/m/02n4kr": "Mystery"}
a 19
about 1
added 1
after 3
agrees 1
alive 1
and 18
apartment 2
are 2
around 1
arrest 1
arrive 2
arriving 1
as 3
back 1
before 3
begins 1
betrayed 1
bill 5
blood 1
book 1
booth 1
both 1
bouncer 1
bread 1
building 1
but 5
butt 1
butter 1
buy 1
by 1
calm 1
can 3
candy 1
catching 1
charge 1
chasing 1
clerk 1
coffee 2
collector 1
completely 1
convinces 1
couple 1
death 1
deep 1
detective 2
does 1
doubts 1
down 3
drag 1
effect 1
either 1
eleanor 4
else 1
ends 2
enters 1
escapes 1
evades 1
evans 1
events 1
exactly 1
exwife 2
fact 1
fallen 1
final 1
finds 1
fixed 1
flees 3
follows 1
for 1
friend 4
from 2
funk 1
gag 1
getting 1
girl 1
go 1
gordon 1
grass 1
grows 1
gun 1
gunning 1
had 3
hallucinates 1
handed 1
hands 1
has 2
he 7
heads 2
hearing 1
help 1
her 9
hides 1
high 1
hilarious 1
him 12
his 6
hotel 1
in 7
insomnia 1
interested 1
is 7
it 1
jokes 1
jumps 1
just 1
ketchupsoaked 1
king 16
knife 2
lark 1
leave 1
ledge 1
left 1
let 1
like 1
little 2
living 1
long 1
man 2
manages 1
marijuana 1
maybe 1
more 1
named 1
night 2
nowhere 1
numbers 1
of 9
officer 3
officers 1
on 2
one 1
only 1
onto 1
or 2
order 3
other 1
out 2
pair 1
paranoid 2
past 1
people 1
phone 2
piece 1
pin 1
plainclothesman 1
police 4
powder 1
proprietor 1
pulled 1
pursuit 1
ranch 1
rancha 1
referring 1
reprobates 1
responds 1
room 6
sandwiches 1
save 1
service 2
she 5
shed 1
shoots 1
simulate 1
situation 1
sleeping 2
smoke 1
sneak 1
some 1
sort 1
speakeasy 1
spillane 2
squeezed 1
stabbed 1
steals 1
store 3
story 2
subsequent 1
taking 1
talk 1
telling 1
tells 2
than 1
that 5
the 27
their 1
them 1
then 1
there 2
they 1
thinking 1
thinks 3
though 1
ticket 1
to 17
too 1
took 1
towards 1
tries 1
turner 1
twistback 1
unaware 1
vinnie 6
waiting 1
walks 1
wants 1
wash 2
well 1
when 2
where 3
while 1
who 1
whole 1
wife 1
with 7
