1641949
/m/05jzz2
/m/05jzz2
Christopher Moore
2003-06-03
{"/m/0pym5": "Absurdist fiction"}
a 2
after 1
and 2
another 1
answers 1
are 1
area 1
as 3
biologist 1
bite 1
chile 1
considering 1
curiosity 1
daytrip 1
deep 1
expedition 1
fluke 1
flukes 1
goes 1
hawaiian 1
he 3
his 1
huge 1
in 2
investigations 1
is 1
island 1
letters 1
mammal 1
marine 1
maui 1
me 1
mystery 1
nathan 1
notices 1
ocean 1
of 5
off 2
on 3
one 2
out 2
pacific 1
peculiarity 1
photographs 1
plot 1
quinn 1
routine 1
seeks 1
set 1
shore 1
source 1
spelled 1
survey 1
tailfin 1
that 1
the 10
this 1
to 1
uncover 1
underneath 1
well 1
whale 1
whales 1
when 1
words 1
