22006659
/m/05pc023
/m/05pc023
Dan Rhodes
2003
a 9
abandon 1
about 1
against 1
agrees 1
and 7
around 1
as 3
at 1
attempts 1
back 2
bar 1
be 1
beloved 1
between 1
black 1
bosnian 2
briefly 1
business 1
but 2
by 1
card 1
career 1
centres 1
character 1
choose 1
claiming 1
cockcroft 6
comes 1
composer 1
contact 1
dislike 1
dog 2
door 1
drunken 1
eyes 1
failed 1
farmhouse 1
fellatio 1
financed 1
florence 1
for 1
forced 1
former 1
from 1
fur 1
gave 1
gay 1
girl 1
good 1
has 1
he 7
him 2
his 4
home 1
in 6
into 1
is 5
job 1
journey 1
judge 1
little 1
lives 2
lovers 1
make 1
man 1
men 1
mongrel 1
novel 2
occasional 2
odd 1
of 3
often 1
on 1
patches 1
people 1
pick 1
pretty 1
puts 1
receives 1
reciprocated 1
remainder 1
reminisces 1
retired 1
return 1
rome 1
royalties 1
rundown 1
says 1
shows 1
such 1
surprised 1
takes 1
the 10
them 1
theme 1
timoleon 4
to 6
tries 1
tunes 1
umbria 1
up 3
vieta 3
way 1
weekends 1
weekly 1
when 2
white 1
who 2
with 4
wrote 1
