14174189
/m/03cwvyq
/m/03cwvyq
Alistair MacLean
1982
{"/m/098tmk": "War novel"}
a 3
about 1
actually 1
against 2
agent 2
an 1
and 4
are 1
as 3
boek 1
but 1
chetniks 1
civil 1
clear 1
communist 1
compatriots 1
confusion 1
croatian 1
cross 1
deliver 1
double 1
during 1
each 1
everyone 1
fascist 1
fighting 1
for 2
german 1
him 1
his 1
ii 1
is 3
it 1
italian 1
loyalties 1
meanders 1
message 1
much 1
name 1
nazis 1
nlpartizanen 1
not 2
obviously 1
occupiers 1
of 2
other 1
partisans 1
pete 1
petersen 3
plot 1
royalist 1
sardonic 1
secret 1
serb 1
team 1
the 6
their 1
those 1
threeway 1
through 1
to 1
uncertain 1
unlikely 1
unmask 1
ustashe 1
war 2
wartorn 1
what 1
who 1
with 3
working 2
world 1
yugoslavia 2
yugoslavian 1
