13571561
/m/03c9qzd
/m/03c9qzd
Robert Muchamore

{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/0dwly": "Children's literature"}
a 7
activist 1
adams 2
after 3
although 1
an 1
and 11
andy 3
are 2
around 1
as 1
assault 1
at 3
back 1
badly 1
befriend 1
begin 1
being 2
book 2
boys 1
breaking 1
bruce 1
bullies 1
but 2
by 4
campus 2
change 1
chinese 1
course 1
cousin 1
day 1
defeating 1
do 1
earns 1
ends 1
fight 1
finish 1
forced 1
friend 1
from 1
front 1
further 1
george 4
greg 1
group 1
guest 1
hacking 1
head 1
her 1
his 3
imprisoned 1
in 3
injured 1
injures 1
interrupted 1
into 1
invited 1
is 3
jake 1
james 1
job 1
kurt 1
lagan 1
laptop 1
lauren 1
library 1
lydon 5
messing 1
mission 2
new 1
norris 1
notorious 1
nuclear 1
of 4
older 1
on 3
opened 1
other 1
over 1
overseen 1
overweight 1
parker 1
part 1
physical 1
plan 1
popularity 1
posing 1
rat 5
rathbone 1
scottish 1
sedate 2
several 1
severely 1
she 1
sister 1
sleepover 2
son 2
soon 1
sophie 1
speaker 1
still 1
struggle 1
suspects 1
system 1
takes 1
the 8
to 3
training 1
undercover 1
vase 1
vicious 1
volunteers 1
wife 1
with 1
world 1
zhang 2
