1121344
/m/047wtd
/m/047wtd
Brian Jacques
1988
a 9
abbess 1
abbey 3
after 1
allies 1
an 2
and 17
animals 1
area 1
arrive 1
as 1
attacked 1
badger 1
ballista 1
bat 1
battle 1
become 1
becoming 2
before 1
begins 1
believed 1
bella 2
bigclub 1
blames 1
bloodwake 1
boar 4
book 1
both 1
broken 2
brother 2
brought 1
but 2
by 2
captured 1
castle 1
childhood 1
comes 1
community 1
companions 1
corim 1
could 1
council 1
cruel 1
daughter 2
death 1
defeat 1
destroys 1
dinny 1
dungeons 2
end 1
ends 1
enemy 1
escape 1
eventually 3
evidenced 1
father 1
fighter 2
fighting 1
final 1
find 1
finding 1
flooded 1
flooding 1
food 1
for 2
former 2
fortunata 1
friend 1
from 6
germaine 1
gingivere 1
gonff 2
great 1
guosim 1
had 1
he 3
help 4
her 4
herself 1
his 4
imprisoned 2
in 6
including 1
is 6
it 2
its 2
join 2
journey 1
killed 1
kills 1
knocking 1
kotir 5
later 1
left 1
legend 1
loamhedge 1
log 4
lord 1
luke 1
martin 8
meanwhile 2
meet 1
meets 1
members 2
memory 1
metal 1
meteorite 1
mole 1
mortal 1
mossflower 4
mountpit 1
mouse 1
mousethief 1
named 1
near 1
never 1
north 1
oarslaves 1
of 11
on 2
only 1
over 2
places 1
poisons 1
pond 1
prison 1
put 1
quest 1
reach 1
recovers 1
redwall 1
reforges 1
reign 1
resistance 1
return 1
ripfang 2
rise 1
ruins 1
ruler 1
ruling 1
salamandastron 4
same 1
searat 2
several 2
she 1
ship 1
sickness 1
son 1
stealing 1
storages 1
story 1
stricken 1
suffers 1
sunflash 1
surviving 1
sword 2
take 1
takes 1
the 34
then 1
thereafter 1
they 1
throne 1
through 1
timballisto 1
times 1
to 5
toadlands 1
tribe 1
tsarmina 5
tyranny 1
under 1
verdauga 3
vixen 1
walls 1
warrior 1
was 1
what 1
when 1
where 3
while 2
who 2
wildcat 1
with 12
within 1
wood 1
woodlanders 2
woods 2
would 2
