935408
/m/03rgnc
/m/03rgnc
Neal Stephenson
1994-04-01
{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 10
ability 1
accused 1
act 1
africanamerican 1
after 3
almost 2
an 2
and 5
arranging 1
as 5
at 1
attacking 1
being 1
biochip 1
black 1
business 2
by 2
cable 1
campaign 1
candidate 1
candidates 1
canny 1
citizens 1
coalition 1
colorado 2
committed 1
companies 1
cozzano 5
dead 1
debate 1
discovering 1
eleanor 2
elected 1
ends 1
entirely 1
entities 1
event 1
events 1
eye 1
factory 1
fate 1
female 1
fictional 1
figured 1
finds 1
first 2
for 5
former 2
found 1
gets 1
getting 1
governor 1
has 2
have 1
having 1
her 1
herself 2
him 3
his 1
home 1
however 1
husband 1
illinois 1
implanted 1
in 5
inauguration 1
inhabitant 1
instantly 1
is 2
killing 1
large 1
local 1
made 1
makes 1
mate 1
network 4
night 1
novel 1
number 1
of 12
offices 1
on 1
one 1
opens 1
opinion 1
out 1
parallels 1
park 1
perceive 1
personality 1
plans 1
president 3
presidential 2
progress 1
psychotic 1
public 3
publicaccess 1
publicly 1
queens 1
real 1
relations 1
repossessed 1
republican 1
rescues 1
richmond 4
run 1
running 2
select 1
senate 1
senator 1
separate 1
she 1
shot 1
show 1
since 1
skewed 1
somehow 1
states 2
stroke 1
subplot 1
suffering 1
suicide 1
talk 1
television 1
the 15
their 1
them 1
to 3
trailer 1
tv 1
twist 1
underground 1
unemployed 1
united 2
up 2
vice 2
was 1
welfare 1
where 1
who 2
william 1
with 2
work 1
worker 1
working 1
