242555
/m/01k62z
/m/01k62z
Joe Klein
1996-01-16
{"/m/02xlf": "Fiction"}
a 5
affair 1
also 1
an 1
and 6
as 3
be 1
becomes 1
beginning 1
begins 1
beliefs 1
between 1
bill 1
book 1
burton 3
by 1
calendar 1
campaign 2
cashmere 1
choose 1
clinton 1
come 2
congressional 1
democratic 1
derail 1
disguised 1
disillusioned 1
disingenuously 1
eats 1
election 1
era 1
finally 1
flirtatious 1
florida 1
follows 1
for 1
forced 1
former 1
governor 1
hairdresser 1
hampshire 1
head 1
help 1
henry 1
him 1
his 6
idealism 1
idealistic 1
in 4
increasingly 1
insincere 1
insufficiently 1
is 4
jack 1
joins 1
light 1
long 1
matters 1
much 1
new 1
of 2
opponent 1
overly 1
participation 1
plot 1
policy 1
portraying 1
presidential 2
primary 1
proisrael 1
prospects 1
protest 1
realism 1
revealed 1
revives 1
saying 1
security 1
social 1
southern 1
standin 1
stanton 5
supporter 1
talks 1
the 4
then 1
thinly 1
threaten 1
to 6
too 2
toward 1
vietnam 1
war 1
weak 1
whatever 1
where 1
who 2
wife 1
will 1
win 1
with 2
women 1
wonk 1
worker 1
