13361561
/m/03c2wx1
/m/03c2wx1
Frederic Dannay

a 11
about 2
act 1
actor 1
actually 1
address 1
advertising 1
advice 1
affair 1
after 1
alphabeta 1
also 1
an 2
and 12
apologizes 1
apparently 1
are 2
arranged 1
as 2
asks 1
because 1
before 1
blood 1
book 1
both 1
breaks 1
but 1
by 1
career 1
causing 2
clandestine 1
clueusing 1
code 1
conclude 1
confronts 1
consider 1
contain 1
conversation 1
couple 1
criminal 1
darien 1
day 2
despite 1
dies 3
dirk 7
dollars 1
dying 2
ellery 5
enough 1
envelopes 2
eye 1
fairly 1
father 1
finally 1
followed 1
for 1
found 1
from 1
get 1
gets 1
guidebook 1
had 1
happiest 1
harrison 2
has 2
have 1
having 1
he 3
her 2
him 1
his 5
home 1
how 1
in 7
inamorata 1
ink 1
innocuous 1
into 1
involved 1
is 4
it 1
jealousy 1
judge 1
just 2
justice 1
keep 1
killed 1
lawrence 1
lawrences 1
leave 1
letter 1
lifebut 1
like 1
linked 1
look 1
lover 1
martha 6
meeting 1
meetings 3
message 1
millions 1
mother 1
moves 1
murder 1
must 1
mysterywriting 1
name 1
nearly 1
new 2
next 1
nikki 3
not 1
of 6
on 3
only 1
out 1
overreaction 1
own 1
pair 1
porter 1
private 1
problems 1
progressed 1
punches 1
queen 1
receives 1
reports 1
romantic 1
scarlet 1
secretary 2
secretive 1
sequential 1
series 1
seriously 1
shoots 1
shows 1
significance 1
situation 1
solves 1
soon 2
stalled 1
stay 1
story 1
suburb 1
successful 1
suspecting 1
telling 1
that 3
the 17
them 1
then 2
thereby 1
things 1
this 1
through 1
time 3
to 8
trial 1
typewriter 1
unconsciousness 1
up 1
urges 1
van 3
violent 1
w 1
wall 1
who 1
with 5
worst 1
wounding 1
writes 1
written 1
x 1
y 1
york 2
