5266592
/m/0dbnpy
/m/0dbnpy
Bernard Cornwell

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0hwxm": "Historical novel"}
a 6
aelle 3
after 2
against 1
agree 1
alive 1
allies 1
allowed 1
ally 1
along 2
also 2
and 22
are 1
armorica 1
army 1
arrival 1
arrives 1
arthur 14
arthurs 1
as 1
at 3
attack 1
avoid 1
away 2
back 3
baddon 1
battle 2
be 2
before 1
begins 1
being 1
besieged 1
both 2
bring 2
britain 2
but 4
by 2
camlan 1
caught 1
caused 1
ceinwyn 3
cerdic 2
ceremony 3
channel 1
charge 1
christianity 1
combat 1
comes 1
complete 1
completed 1
control 1
convert 1
cuneglas 2
cut 1
daughter 1
deal 1
death 2
deathly 1
demands 1
derfel 17
does 2
due 1
dumnonia 3
dun 2
dying 1
efforts 1
else 1
end 1
enemy 1
english 1
escape 1
eventually 2
everything 1
faces 1
faked 1
father 2
fever 1
fight 1
finally 2
find 2
finds 1
for 3
forth 1
friend 1
from 1
full 1
get 1
given 1
gives 2
giving 1
go 1
god 1
gods 2
goes 3
greatest 1
group 1
guinevere 4
gwent 1
had 1
hand 1
hanged 1
has 4
having 1
he 8
help 2
her 3
him 3
his 16
husband 1
if 3
impressed 1
imprisoned 1
in 4
injuries 1
intends 1
into 1
invade 1
is 18
issue 1
it 2
joined 1
kill 1
killed 2
king 2
lancelot 2
later 1
leads 1
learns 2
leaves 1
live 1
lord 1
loses 1
mai 2
make 1
manage 1
manages 1
meet 1
merlin 1
messenger 1
mordred 6
morgan 1
mount 1
must 2
night 1
nimue 3
no 1
not 2
nothing 1
novel 1
of 8
off 1
offers 1
old 1
on 3
one 1
only 1
over 1
pagan 1
pay 1
plans 1
pleased 1
power 4
preparing 1
price 1
raids 1
realising 1
remove 2
returns 2
revenge 1
sacrifice 1
said 1
sails 1
same 1
sansum 1
saragmor 2
save 1
saxon 1
saxons 3
says 3
sea 1
serve 1
service 1
she 1
shortly 1
sick 1
sickness 1
single 1
son 4
spell 1
stays 1
still 2
stop 1
stops 1
succession 1
survivors 1
sword 2
take 1
taken 3
taliesin 1
that 5
the 19
though 2
throwing 1
thus 1
time 2
to 29
trapped 1
tries 1
try 1
trying 2
turn 2
unable 1
up 2
upon 1
victory 1
want 1
war 1
watches 1
were 1
where 1
while 3
who 5
will 4
win 1
wins 2
with 6
works 1
wounded 1
