3640434
/m/09rnps
/m/09rnps
Catherine Asaro
2001-12
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 8
aboard 1
about 1
absolute 1
act 1
activate 1
admiral 1
ages 1
also 2
alternate 1
although 1
among 1
an 8
ancient 1
and 10
anyone 1
aristos 2
as 7
ashes 1
assembly 1
attempts 1
based 1
battle 1
be 1
being 1
between 2
book 3
boundary 1
by 4
called 2
can 2
captive 1
casestar 1
caste 1
coalescing 1
commander 1
concord 1
conflict 1
considered 1
cruiser 1
danger 1
defined 1
defines 1
descendant 1
dimension 1
disappearing 1
discover 1
dyhianna 2
dynasty 2
earth 1
economy 1
eldrinson 1
elected 2
elite 1
emergency 1
empire 2
ends 1
entered 1
enthusiasm 1
escapes 1
established 1
eubian 3
existence 1
expand 1
fades 1
fighter 1
find 1
first 1
fleet 1
following 1
follows 1
for 1
force 1
fought 1
found 2
free 1
from 3
functions 2
go 1
government 2
governs 1
happened 2
harmonic 3
harmonics 2
has 3
heir 1
held 1
her 13
history 1
husband 1
identity 1
imperialate 3
in 9
including 1
into 1
is 8
isc 1
it 2
jon 1
just 1
known 1
little 1
lock 1
majda 1
manages 1
mathematical 1
meets 1
members 1
memories 1
military 2
modern 1
moon 2
narcissists 1
narrative 1
of 12
officers 1
on 3
once 1
one 1
opalite 1
opening 1
opens 1
other 1
out 2
overthrow 1
own 1
partial 1
past 1
people 1
person 1
pharaoh 1
pharaohs 1
pilot 1
place 1
plan 1
prior 1
prose 1
protection 1
protocol 1
radiance 1
rebuild 1
recovers 1
reforms 1
result 1
resurrect 1
reunite 1
rigid 1
roca 1
ruby 3
ruled 2
ruler 1
scene 1
secretly 1
seek 1
seeking 1
seen 1
selei 7
shape 1
she 7
singularity 1
sinusoidal 1
sister 1
sisterinlaw 1
skolia 1
skolian 2
slave 1
slowly 1
so 1
some 1
son 1
sovereign 1
spherical 5
stepping 1
strives 1
struggles 1
takes 1
taquinil 1
terms 1
that 2
the 30
there 1
titular 1
to 14
told 1
top 1
trade 1
transfer 1
trust 1
two 1
unable 1
universe 1
universes 1
up 1
vaz 1
viewpoint 1
war 3
waves 1
what 2
which 1
who 1
written 1
