474347
/m/02dwwk
/m/02dwwk
Greg Bear
1998-02
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1st 1
20 1
310 1
a 3
actions 1
addition 1
again 1
against 1
allow 1
almost 1
also 1
ancient 1
and 8
approve 1
are 1
as 6
asimovs 2
auroran 1
behind 1
brain 1
but 1
by 1
calvinian 1
can 1
chaos 2
chen 1
come 1
commission 1
commissioner 1
confrontation 1
considering 1
contrivances 1
covering 1
dampen 1
dampeners 1
daneel 2
decide 1
developed 1
do 1
does 1
dors 1
emperor 1
empire 1
ends 1
entirely 1
even 1
expanded 1
fatuous 1
fever 1
first 1
focuses 1
for 2
foreshadows 1
form 1
foundation 5
frame 1
good 1
greater 1
growth 1
hari 2
harm 2
himself 1
his 3
human 2
humanity 3
humanitys 1
imperial 2
in 5
inaction 1
influence 1
intellectual 1
interweaves 1
is 3
issue 1
it 1
justify 1
klayus 1
later 1
law 1
linge 1
liso 1
machinations 1
magnificos 1
matures 1
may 1
means 1
mentallic 1
mentallics 1
millennia 1
minister 1
more 2
mutant 1
new 1
no 1
not 1
novel 2
novels 1
observe 1
of 9
olivaw 3
olivaws 5
on 2
oppose 1
or 1
other 1
others 1
palver 1
part 2
paternal 1
period 1
perpetuating 1
place 1
plans 1
playboy 1
plays 1
portrays 1
power 1
powerful 1
primary 1
probably 1
prominent 1
psychohistorians 2
public 2
quarantining 1
questioned 1
r 2
really 1
reappears 1
reconstructed 1
renaissance 1
rise 2
robot 2
robots 3
rogue 1
role 2
safety 2
same 2
second 3
sect 1
seems 1
seldon 6
serve 1
served 1
should 1
species 1
spectacular 1
stettin 1
struggle 1
such 1
superrobot 2
takes 1
telepaths 1
telling 1
than 1
the 18
this 1
thoughts 1
through 1
time 1
to 3
trilogy 1
true 1
twisted 1
unaware 1
until 1
vara 1
variation 1
venabili 1
version 1
wanda 1
well 1
when 1
whether 1
which 1
while 1
who 4
will 1
with 1
worlds 1
would 1
years 1
zeroth 1
