13870257
/m/03cls4m
/m/03cls4m
Samuel Youd
1983-01-27
20th 1
a 4
across 1
advanced 1
again 1
ages 1
aid 1
aim 1
alternate 1
america 2
american 1
an 2
and 7
anticipate 1
are 4
as 3
at 2
attempt 1
away 1
aztec 1
aztecs 1
be 1
beginning 1
between 1
book 2
boys 1
brad 2
break 1
but 2
by 4
captured 1
century 1
church 2
civilization 1
civilizations 1
comfortable 1
continent 2
continued 1
continues 1
convert 1
coup 2
cousins 1
cross 1
dance 1
did 2
die 1
discovered 1
discovery 1
dragon 1
due 1
earth 1
east 1
empire 3
encounters 1
end 1
enjoy 1
enough 1
escape 2
europe 2
europeans 1
everyone 1
externalities 1
far 1
fate 1
find 1
finish 1
fireball 1
first 2
for 2
force 1
from 2
gain 1
games 1
gods 1
handball 1
has 3
head 1
history 1
improve 1
in 12
introducing 1
is 3
last 1
launch 1
living 2
longbow 1
managed 1
more 1
mysteriously 1
native 1
new 3
north 1
not 3
novel 2
of 6
old 1
only 1
oppressed 1
or 1
order 1
part 1
persisted 1
power 1
predark 1
quickly 1
reach 1
realm 3
received 1
remains 1
roman 2
sacred 1
sacrificed 1
safely 1
sail 1
sailors 1
second 1
significant 1
simon 2
soon 1
squash 1
state 1
status 2
stirrup 1
story 1
succeeds 1
take 1
technology 1
tennis 1
the 34
their 3
themselves 1
they 7
this 3
though 1
time 1
to 12
too 1
transported 1
trekking 1
tribes 1
trilogy 1
unchanging 1
unfortunately 1
until 1
up 1
urban 1
victors 1
warmly 1
was 1
wealth 1
where 1
which 4
who 1
will 1
win 1
winners 1
without 1
world 3
would 1
yearning 1
yet 1
