1867786
/m/062ckc
/m/062ckc
Anchee Min


a 3
activities 1
adopt 1
after 1
afterclass 1
america 1
and 5
appeals 1
arrangements 1
as 1
at 1
becomes 1
but 1
call 1
character 1
china 1
chinese 2
class 1
come 1
consul 1
contact 1
corrupting 1
culture 1
deal 1
death 1
dismissal 1
doors 1
english 1
eventually 1
for 2
from 1
girl 1
great 1
han 1
head 1
help 1
helps 1
her 5
how 1
however 1
in 3
influence 1
integrate 1
interacting 1
into 1
is 2
itkatherine 1
its 1
katherine 4
larger 1
learn 1
learns 1
lion 1
little 2
lover 1
maintains 1
make 1
mao 1
min 1
mr 1
narrator 1
novel 1
of 9
old 2
one 1
opens 1
out 1
people 1
principal 1
rabbit 2
republic 1
returned 1
school 1
seizes 1
shanghai 2
she 2
six 1
spurned 1
states 1
student 1
students 2
suspicious 1
teacher 1
teaches 1
the 12
thirtysix 1
title 1
to 8
tries 1
twentynine 1
united 1
upon 1
us 1
well 1
western 1
who 1
with 3
wong 1
world 1
year 2
years 1
zebra 2
