16084780
/m/03qnp8x
/m/03qnp8x

1992-08
{"/m/05h83": "Non-fiction"}
16 1
160s 2
17 1
170s 1
180 1
a 3
abuse 1
accused 1
addicted 1
addiction 1
after 2
all 2
also 4
always 1
an 1
and 9
as 5
aspects 1
at 2
atmosphere 1
background 1
band 3
bands 1
be 1
became 1
before 1
began 1
beginning 2
being 1
biggest 1
bologna 1
bombing 1
bonham 1
book 3
briefly 1
business 1
but 2
by 1
claims 1
close 1
cole 4
collapse 1
constant 2
could 1
custody 1
death 1
describes 3
detox 1
devastating 1
developed 2
diarrhea 1
did 1
discusses 1
documents 1
downfall 1
drugs 1
drums 1
each 1
early 1
even 1
every 1
experience 1
experienced 1
experiences 1
falsely 1
festival 1
fired 1
first 1
for 4
forced 1
friendships 1
from 2
grant 1
had 4
he 19
heroin 3
him 2
his 5
how 1
immediately 1
impact 1
imprisoned 1
in 6
incarceration 1
including 1
income 1
into 1
involvement 2
it 2
italian 1
italy 1
john 1
knebworth 1
led 4
life 1
london 2
longer 2
manager 4
member 1
members 2
mod 1
money 1
music 1
nights 1
no 3
not 1
of 13
on 5
one 2
other 1
pain 1
path 1
personal 2
peter 1
play 1
point 1
police 1
pressure 1
prior 1
problems 1
pursue 1
railway 1
recording 1
recounts 2
released 1
rely 1
reveals 1
said 1
scaffolds 1
scene 1
shed 1
shows 1
since 1
sleepless 1
some 1
spent 1
station 1
steady 1
subculture 1
substance 1
sweat 1
take 1
terrorism 1
that 6
the 26
their 1
things 1
this 1
time 3
to 8
toll 1
tour 3
touring 1
trying 1
ultimately 1
underwent 1
venture 1
wanted 1
was 5
were 1
when 2
which 2
while 1
whilst 1
who 1
with 2
work 1
zeppelin 3
