153449
/m/0140hq
/m/0140hq
Anne Rice
1992
2 1
a 25
abandoned 1
ability 1
above 1
accept 1
accusing 1
actual 1
advice 1
affair 1
after 2
again 3
against 2
age 1
all 2
allow 1
allowing 1
allows 1
ally 1
alone 1
along 1
already 1
also 5
altering 1
although 3
always 2
amends 1
america 1
among 1
an 1
and 28
angrily 1
angry 2
approaches 1
are 1
arguing 1
as 1
asks 2
at 7
attacks 1
attempt 1
awakes 1
away 2
back 1
be 3
because 1
become 3
becomes 1
becoming 1
before 3
beginning 1
begins 1
begun 1
being 1
blames 1
blood 2
blow 1
boarding 1
bodies 4
body 14
both 1
brain 1
broken 1
but 4
by 4
calls 1
cancer 1
care 1
caste 1
caves 1
chance 1
claiming 1
claims 1
claudia 1
come 1
company 1
completely 1
concerning 1
conspicuous 1
constant 2
contacted 1
continue 1
continues 1
convent 1
coven 1
criminals 1
cruise 1
crushing 1
cure 1
current 1
cycles 1
damages 1
damned 1
dark 1
daughter 1
david 13
dawn 1
day 2
dc 1
de 1
dead 1
death 1
decides 1
depressed 2
depression 1
desert 1
deserve 1
despite 5
die 2
dies 2
disappeared 1
disappears 1
discovers 1
does 3
down 1
draining 1
drawing 1
during 1
dying 2
earlier 1
easily 1
elizabeth 1
else 1
end 2
ending 2
ends 1
england 1
enjoy 1
enjoys 2
ennui 1
eponymous 1
eternity 1
evening 1
eventually 1
ever 1
every 1
everyone 1
evil 1
explains 1
extremely 2
failed 1
false 1
fatal 1
favor 1
feels 1
figure 1
final 1
finally 1
find 2
finds 3
flee 1
florida 1
for 10
forced 3
formed 1
french 1
friend 1
friends 1
from 6
gets 1
gift 1
gifted 1
gives 1
gobi 1
goes 2
gotten 1
gretchen 2
grows 1
halfhearted 1
happened 1
happy 2
has 13
have 1
having 3
he 30
head 1
heal 1
help 3
heroically 1
him 16
himself 1
hinting 1
his 35
home 1
house 2
however 3
human 2
humanity 1
if 1
ignores 1
imagination 1
immediately 1
immortal 1
immortality 2
in 15
injury 1
inmate 1
innocent 1
instead 1
institution 1
intention 1
into 4
is 18
it 3
james 12
janeiro 1
jewelry 1
join 1
joined 1
jumps 1
keep 1
kicked 1
killers 1
kills 1
kleptomaniac 1
lack 1
late 1
latters 1
leadership 1
leaving 2
lestat 32
life 3
likewise 1
limit 1
lonely 2
long 1
longer 1
looks 1
louis 5
love 1
luck 1
major 1
make 3
makes 1
manages 1
marius 1
mdash 4
mental 1
messages 1
middle 1
misdeeds 1
mortal 1
murderers 1
must 1
mysterious 1
named 1
narrative 1
nature 3
nearly 1
necessarily 1
new 6
newfound 1
nightmares 1
no 3
nonetheless 1
not 3
now 2
nun 1
of 29
offered 1
often 1
old 3
on 3
once 2
one 2
only 3
opportunity 1
or 3
order 1
orleans 2
ostracized 1
other 3
ought 1
out 4
over 1
own 1
owns 1
past 2
path 1
pattern 1
people 1
performs 1
petty 1
place 1
plans 1
played 1
pneumonia 1
point 1
portrays 1
position 1
powerful 2
prevents 1
previous 1
prison 1
problems 1
proposes 1
protestations 1
protests 1
proves 1
psychic 1
psychological 1
pursuers 1
quarter 1
queen 2
raglan 2
reaches 1
readers 1
realizes 1
refused 1
refuses 1
regain 3
regained 1
remaining 1
remorseful 1
renovate 1
repeatedly 1
resources 1
resumes 1
returning 1
returns 3
reunites 1
revealed 1
reveals 1
rich 1
rid 1
rio 1
rising 1
rms 1
role 1
safe 1
saved 1
saving 1
scheme 1
schemed 1
search 1
secret 1
seeks 1
seems 1
sends 1
serial 1
series 1
sets 1
seventyfour 1
several 2
she 2
ship 2
short 1
show 1
since 1
single 1
skull 1
someone 1
south 1
spend 1
steal 1
stealing 1
still 1
stolen 1
story 2
such 1
suffers 1
suicide 1
sun 1
supernatural 1
surprise 1
surprised 1
switch 3
switching 2
taking 1
talamasca 2
talbot 9
tale 1
tells 1
temptation 1
that 16
the 40
theft 2
their 1
them 2
then 3
they 1
thief 3
thievery 1
thing 1
this 3
thrill 1
through 1
thrown 1
to 42
took 1
tour 1
track 1
trade 1
trick 1
tricked 1
tries 1
truly 1
trying 1
turns 1
two 1
type 1
unfortunately 1
up 3
upon 2
usurp 1
vampire 4
vampires 3
vampiric 2
victims 2
visit 1
wanted 1
wants 1
warns 1
was 3
washington 1
wealth 2
what 2
when 5
where 2
which 2
while 3
who 4
whose 1
winter 1
wishes 1
with 8
works 1
wracked 1
writings 1
years 2
young 1
