9063325
/m/027w9ly
/m/027w9ly
Dale Brown
1987-06-23
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
187 1
188 1
a 12
able 1
abm 1
accords 1
act 1
adapted 1
aerospace 1
after 5
ahead 1
aircraft 3
airfield 1
airspace 1
allow 1
also 1
although 1
american 1
americans 1
an 2
anadyr 1
and 9
are 3
as 3
assets 1
at 2
attack 3
b1 2
b1s 1
b52 3
before 2
begins 1
being 1
bomber 2
bombers 1
book 1
both 1
bradley 1
but 1
by 3
called 1
center 1
challenges 1
commander 1
considerable 1
crash 1
crew 8
crewmembers 1
damage 1
damaged 1
december 2
defense 1
despite 1
destroying 2
destroys 1
discover 1
does 1
dog 5
down 2
dreamland 1
during 1
eb52 1
elliott 2
engages 1
enough 2
enters 1
escort 1
exercise 1
existence 1
existing 1
eyed 1
faking 1
fighter 1
fighters 1
final 1
fitted 1
flight 1
flying 1
for 3
forces 2
forcing 2
frequent 1
fuel 3
gen 1
groundbased 1
have 1
hawc 2
hawk 1
help 1
high 1
highly 1
himself 1
home 2
hope 1
idaho 1
immediately 1
impromptu 1
in 8
injured 1
insists 1
intercepted 1
into 2
is 5
it 2
journey 1
kamchatka 1
kc10 1
known 1
laser 5
later 1
launch 1
leaking 1
littleused 1
long 1
longer 1
make 1
meanwhile 1
megafortress 1
members 1
military 1
mission 3
modified 1
moscow 1
named 1
new 1
night 1
no 1
not 3
november 1
number 1
of 10
off 1
old 5
on 1
one 1
only 1
outside 1
patience 1
peninsula 1
plane 3
push 1
pvo 1
realize 2
refuel 1
refueling 1
remaining 1
return 1
russia 1
russian 1
sac 1
sacrifices 1
safely 2
same 1
satellite 1
seattle 1
secret 1
sent 1
set 2
several 1
shemya 1
shot 1
soviet 5
soviets 1
space 1
states 1
steal 1
story 1
strategic 2
strike 1
striking 1
such 1
surprised 1
system 1
take 1
technology 2
terrorists 1
tested 1
tests 1
that 4
the 36
their 2
them 1
they 4
time 1
to 11
treaty 1
two 1
un 1
unique 1
united 1
us 1
use 1
violate 1
vital 1
washington 1
weapons 1
with 4
young 1
