4296575
/m/0bvq05
/m/0bvq05
Orhan Pamuk
1990
a 6
accounting 1
actually 1
affair 1
after 2
agrees 1
aladdin 2
also 2
an 5
and 9
apartment 1
apprehension 1
are 2
around 2
articles 1
as 3
astonishing 1
at 1
attempt 1
attempts 1
author 1
back 1
been 1
being 1
both 3
by 1
called 1
calling 1
calls 2
can 1
celal 12
certain 1
city 2
clothes 1
clues 1
column 1
columnist 2
columns 2
concerned 1
constructing 1
contemporary 1
day 1
death 1
discovered 1
displays 1
dream 1
eerie 1
ends 1
eventually 1
explanation 1
exploring 1
familiarity 1
fan 1
fans 1
figure 1
figures 1
finally 1
find 1
finds 1
following 1
for 4
form 1
found 1
frequent 1
from 2
full 1
galip 10
getting 1
had 2
halfbrother 1
happens 1
has 3
he 6
her 3
highly 1
him 3
his 7
history 1
how 1
husband 2
identity 2
impassioned 1
in 8
interspersed 1
is 10
istanbul 3
it 4
its 1
jealous 1
killer 1
lawyer 1
left 1
lengthy 1
literate 1
little 1
living 1
locate 1
location 1
looking 1
main 1
means 2
meditations 1
meet 1
milliyet 1
misinterprets 1
missing 1
more 1
much 1
mysterious 1
mysteriously 1
name 2
named 2
narrative 2
nature 1
never 1
novel 1
obsessed 1
of 11
on 1
one 2
ottoman 1
out 3
past 2
phone 1
pleas 1
plot 1
postmodern 1
presence 1
protagonist 1
public 1
relating 1
reprints 1
residence 1
revealing 1
rya 3
search 1
shot 2
so 1
soon 1
start 1
starts 1
store 2
stories 1
story 3
storytelling 1
straightforward 1
street 1
such 1
suspects 1
take 1
taken 1
takes 1
than 1
that 8
the 23
them 1
they 1
thinking 1
thinks 2
through 1
to 8
turkey 1
turkish 1
turns 2
twist 2
under 1
up 2
very 1
wanders 1
watched 1
wearing 1
whereabouts 1
which 1
who 2
wife 3
win 1
with 7
within 1
woman 3
writing 1
writings 1
