30234770
/m/0g566n_
/m/0g566n_
James Patterson
2010-11-04
a 20
abandoned 1
about 4
accept 1
actually 1
after 6
again 2
air 1
alive 1
all 1
allgood 1
almost 3
already 1
also 1
an 1
and 34
angry 1
appears 2
are 4
arranges 1
arrested 1
as 5
assigned 1
at 3
attractive 1
away 2
be 3
beating 1
because 2
been 1
being 3
between 1
big 1
billboard 1
bionics 1
board 1
book 2
but 3
by 2
byron 1
call 1
can 2
caught 1
celia 6
center 1
city 3
class 1
come 1
concert 1
confused 1
conjure 1
continually 1
continue 1
continued 1
control 1
convinces 1
courtyard 1
dead 1
death 2
decides 1
describes 1
destroyed 1
destroys 1
did 1
different 1
diner 2
dismay 2
do 1
dominion 1
done 1
dont 1
down 1
drummer 1
drumstick 2
earth 1
eighth 1
element 1
elements 2
ends 1
english 1
epilogue 1
eric 5
escape 3
euphoria 1
eventually 2
everything 1
executed 2
executes 1
fades 1
failure 1
fake 1
feelings 1
feels 1
final 1
find 2
finds 1
fire 2
first 1
fish 1
fooled 1
for 4
four 1
freelander 1
freelanders 2
freezes 1
frigid 1
from 5
garfunkel 3
get 2
getting 1
gift 3
give 1
gives 1
go 3
godlike 1
goes 1
going 1
gone 1
good 1
got 2
grade 1
group 3
harmon 1
has 3
he 11
head 1
heartbreak 1
help 1
her 5
herself 1
high 1
highsmith 5
him 3
himself 2
his 1
home 2
horror 3
hours 1
imagination 1
important 1
in 14
infuriating 1
into 1
is 10
it 2
jail 1
janine 4
just 1
justice 1
kids 7
kill 1
killed 2
kisses 1
kissing 1
last 2
learn 5
learns 2
like 1
look 1
looks 1
magic 2
make 1
manage 1
margo 3
mastered 1
meeting 1
meets 1
message 1
moment 1
morning 1
mrs 5
much 1
music 1
needed 1
never 1
new 9
night 2
nopes 1
obviously 1
of 11
on 6
once 1
one 8
only 2
or 1
order 9
other 1
out 2
over 1
parents 2
part 1
place 1
poem 3
popular 1
portal 1
power 1
powerful 1
progress 2
quest 2
races 1
really 1
reason 1
rescue 1
resistance 1
return 3
returns 1
reveals 1
rock 1
romantic 1
room 1
save 1
says 2
scared 1
school 2
screams 1
see 1
sees 4
sets 1
several 1
shaman 1
shares 1
she 10
shed 1
shelter 1
should 3
shouldnt 1
sixpage 1
so 1
soldier 1
some 2
spend 1
stage 1
steal 1
stephen 1
still 1
strongly 1
surprise 1
surrender 1
swain 1
sydney 1
sympathizes 1
taken 1
taking 1
tears 1
tell 1
telling 1
tells 2
texts 1
that 27
the 49
their 7
them 4
themselves 4
then 4
there 1
they 10
thing 1
things 1
this 1
thoughts 1
three 1
through 1
time 1
to 29
together 1
told 1
too 1
took 2
torn 1
trapped 1
tries 1
turn 4
type 1
unknowing 1
up 7
us 1
using 1
very 4
visit 2
visits 1
wakes 1
walking 1
want 1
wanted 1
war 1
was 2
water 1
we 3
were 2
what 2
when 3
where 2
whereabouts 1
which 2
whit 19
who 4
whom 1
why 1
wisteria 1
wisty 29
witch 3
with 9
wizard 1
working 1
would 1
wouldnt 1
writing 1
wrong 1
wrote 1
